id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
1,비에이치,90460,"전자부품 제조업","FPCB (연성인쇄회로기판)",2023-06-20,12월,최영식,http://www.bhe.co.kr,인천광역시
2,동국씨엠,460850,"1차 철강 제조업","냉연강판, 칼라강판",2023-06-16,12월,박상훈,http://www.dongkukcm.com,서울특별시
3,동국제강,460860,"1차 철강 제조업","봉강,형강,후판,냉연강판,칼라강판",2023-06-16,12월,최삼영,http://www.dongkuksteel.com,서울특별시
4,이수스페셜티케미컬,457190,"기초 화학물질 제조업","석유화학제품 및 정밀화학제품",2023-05-31,12월,류승호,http://www.isuspecialtychemical.com,서울특별시
5,OCI,456040,"기초 화학물질 제조업","폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",2023-05-30,12월,"김택중, 김유신",NULL,서울특별시
6,SK오션플랜트,100090,"1차 철강 제조업","해상풍력 하부구조물",2023-04-19,12월,이승철,http://www.skoceanplant.com/,경상남도
7,삼성FN리츠,448730,"부동산 임대 및 공급업","대치타워 및 에스원빌딩",2023-04-10,01월,윤양수,http://www.samsungfnreit.com/,서울특별시
8,현대그린푸드,453340,"종합 소매업","푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,12월,박홍진,http://hyundaigreenfood.com,경기도
9,한화갤러리아,452260,"종합 소매업",백화점,2023-03-31,12월,김은수,http://www.hanwhagalleria.co.kr,서울특별시
10,한화리츠,451800,"부동산 임대 및 공급업",부동산투자,2023-03-27,04월,한화자산운용,NULL,서울특별시
11,코오롱모빌리티그룹,450140,"자동차 판매업","수입자동차 유통 및 정비업",2023-01-31,12월,"이규호, 전철원",http://www.kolonmobilitygroup.com/,경기도
12,바이오노트,377740,"의료용품 및 기타 의약 관련제품 제조업","Rapid 반제품 및 완제품, 동물용신속진단 키트",2022-12-22,12월,조병기,http://www.bionote.co.kr,경기도
13,유니드비티플러스,446070,"제재 및 목재 가공업","MDF 등",2022-11-28,12월,한상준,NULL,서울특별시
14,LX세미콘,108320,"반도체 제조업","Display Driver IC",2022-11-03,12월,손보익,http://www.lxsemicon.com,대전광역시
15,KB스타리츠,432320,"부동산 임대 및 공급업","벨기에 North Galaxy Towers, 영국 Samsung Europe HQ",2022-10-06,01월,신명재,http://www.kbstarreit.com,서울특별시
16,쏘카,403550,"운송장비 임대업","카셰어링, 모빌리티 플랫폼 등",2022-08-22,12월,박재욱,http://www.socarcorp.kr,제주특별자치도
17,수산인더스트리,126720,"건물설비 설치 공사업","전력발전설비 정비 용역",2022-08-01,12월,"한봉섭,김병현(각자대표)",http://www.soosanind.co.kr,충청남도
18,마스턴프리미어리츠,357430,"부동산 임대 및 공급업","프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터",2022-05-31,03월,도병운,http://masternpremier.com,서울특별시
