id,stock_code,jobp_rating,jobp_paywellfare,jobp_worklifebal,jobp_culture,jobp_opportunity,jobp_manager,jobp_recommend,jobp_ceo,jobp_potential,jobp_cnt,blind_rating,blind_cnt,blind_opportunity,blind_worklifebal,blind_paywellfare,blind_culture,blind_manager,corp
1,095570,2.6,2.6,2.9,2.7,2.6,2.3,0.31,0.42,0.15,464,2.8,306,2.4,3.3,2.6,2.8,2.2,AJ네트웍스
2,006840,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,135,0,0,0,0,0,0,0,AK홀딩스
3,027410,3,3,2.8,2.8,2.8,2.5,0.39,0.46,0.3,1402,2.8,1201,2.4,3,2.6,2.8,2.1,BGF
4,282330,3,3,2.8,2.8,2.8,2.5,0.39,0.46,0.3,1402,2.8,1201,2.4,3,2.6,2.8,2.1,BGF리테일
5,001460,2.2,1.8,3.3,2.3,1.9,1.8,0.2,0.18,0.07,216,2.4,56,2.3,3.4,1.9,2.1,1.7,BYC
6,001040,3.2,3.4,2.9,3.1,2.9,2.9,0.52,0.64,0.3,2870,2.9,166,2.9,3,2.7,2.7,2.3,CJ
7,079160,3.5,3.6,3.1,3.3,3.1,3,0.68,0.65,0.29,2248,2.7,305,2.4,2.8,2.5,2.6,2.1,"CJ CGV"
8,000120,2.8,2.9,2.3,2.6,2.9,2.4,0.3,0.44,0.34,1401,2.8,1131,3.1,2.5,2.7,2.5,2.2,CJ대한통운
9,097950,2.9,3,2.6,2.9,3,2.5,0.36,0.45,0.34,2613,2.9,1692,2.9,2.8,2.7,2.8,2.3,CJ제일제당
10,012030,3.1,3,3.3,3.1,2.8,2.5,0.46,0.43,0.09,686,2.8,212,2.5,3.5,2.6,2.6,2.1,DB
11,000210,2.2,2.2,1.9,2,2.6,1.8,0.17,0.26,0.26,356,3.1,8,2.6,3.8,2.5,2.8,2.5,DL
12,375500,3.6,3.6,3.4,3.4,3.3,2.6,0.53,0.34,0.22,99,3.2,842,3.5,3.1,3.3,3,2,DL이앤씨
