year,month,day,crb_index
2017,7,3,177.957
2017,7,4,177.957
2017,7,5,175.44
2017,7,6,176.227
2017,7,7,174.345
2017,7,10,174.545
2017,7,11,175.743
2017,7,12,175.7
2017,7,13,176.183
2017,7,14,178.144
2017,7,17,177.75
2017,7,18,178.764
2017,7,19,180.567
2017,7,20,180.311
2017,7,21,178.561
2017,7,24,178.145
2017,7,25,179.599
2017,7,26,181.413
2017,7,27,183.124
2017,7,28,184.119
2017,7,31,184.665
2017,8,1,182.764
2017,8,2,184.031
2017,8,3,182.665
2017,8,4,182.706
2017,8,7,183.013
2017,8,8,183.138
2017,8,9,183.616
2017,8,10,180.949
2017,8,11,181.654
2017,8,14,179.546
2017,8,15,178.336
2017,8,16,177.382
2017,8,17,177.922
2017,8,18,179.557
2017,8,21,178.612
2017,8,22,178.799
2017,8,23,179.671
2017,8,24,179.889
2017,8,25,179.927
2017,8,28,180.128
2017,8,29,179.647
2017,8,30,178.987
2017,8,31,183.023
2017,9,1,183.118
2017,9,5,184.551
2017,9,6,185.222
2017,9,7,185.094
2017,9,8,183.386
2017,9,11,183.893
2017,9,12,183.645
2017,9,13,185.141
2017,9,14,185.579
2017,9,15,186.335
2017,9,18,186.029
2017,9,19,184.864
2017,9,20,186.951
2017,9,21,185.703
2017,9,22,185.884
2017,9,25,186.954
2017,9,26,185.731
2017,9,27,186.206
2017,9,28,185.331
2017,9,29,185.435
2017,10,2,183.244
2017,10,3,183.239
2017,10,4,183.641
2017,10,5,185.321
2017,10,6,183.312
2017,10,9,183.329
2017,10,10,185.604
2017,10,11,185.913
2017,10,12,185.695
2017,10,13,187.275
2017,10,16,187.082
2017,10,17,186.7
2017,10,18,186.456
2017,10,19,186.541
2017,10,20,186.593
2017,10,23,187.212
2017,10,24,188.346
2017,10,25,187.924
2017,10,26,188.47
2017,10,27,189.445
2017,10,30,190.11
2017,10,31,190.144
2017,11,1,190.54
2017,11,2,190.733
2017,11,3,192.01
2017,11,6,195.26
