corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,ppe,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,tangible_assets,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,borrowings,net_liabilities,fixed_assets,cash_flow_per_share,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,total_rank,simple_total_rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
AJ네트웍스,095570,서비스업,2018,1045526121935.0,1066762174017.0,-21236052082.0,1045526121935.0,37268842438.0,-49408471511.0,-49408471511.0,491807972747.0,2575139461359.0,2083331488612.0,268758383637.0,674454978990.0,474261316507.0,257683028520.0,188924965068.0,53509862897.0,157174672951.0,245055468592.0,79481799795.0,80862783752.0,51456822550.0,39290731138.0,93644590,-83538855287.0,245055468592.0,1066760000.0,-44560294764.0,127467709681.0,1063068630148.0,40018308289.0,6391243036.0,4505.0,446607993588.0,2029821625715.0,324537268387.0,-892.0841587004652,7530,1100.58,103.48,-0.2916,,,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AJ네트웍스,095570,서비스업,2019,1000259401598.0,984610078914.0,15649322684.0,1000259401598.0,42128594358.0,107048170172.0,107048170172.0,347341155620.0,1803255225986.0,1455914070366.0,478799539688.0,796062818789.0,659076988337.0,291467302230.0,166515349214.0,122986211759.0,198771796598.0,272817241977.0,83867610996.0,104945550415.0,58629571881.0,32556846407.0,93644590,-37909433941.0,272817241977.0,984610000.0,44413194892.0,64330327472.0,1302199830881.0,56576385298.0,4589777483.0,4970.0,457982651444.0,1332927858607.0,356684852973.0,-404.8224669572476,8350,1166.11,103.5,-0.5625,BBB+,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AJ네트웍스,095570,서비스업,2020,871956093147.0,850866952296.0,21089140851.0,871956093147.0,-3316812122.0,-18504130352.0,-18504130352.0,288007810106.0,1588170350000.0,1300162539894.0,248555402608.0,661160443861.0,591265103167.0,262670778000.0,243454101420.0,69806738399.0,180625164088.0,229558956116.0,41736559679.0,84967284805.0,33664676310.0,39072097281.0,93644590,17725957273.0,229558956116.0,850870000.0,96850692930.0,-121189249712.0,1233483716249.0,44720505651.0,69792025066.0,4615.0,506124879420.0,1230355801495.0,271295515795.0,189.28970988073095,8590,1180.01,103.03,0.2917,BBB+,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AJ네트웍스,095570,서비스업,2021,981947656833.0,933875938995.0,48071717838.0,981947656833.0,76737133075.0,22290237581.0,22290237581.0,362510088118.0,1355044449955.0,992534361837.0,273912905377.0,525176778325.0,467357583512.0,113290328000.0,197671055559.0,85232019813.0,247924996406.0,177684993354.0,27941557766.0,93251536505.0,19735719639.0,43057838717.0,93644590,-11318072318.0,177684993354.0,933880000.0,155079613643.0,-129810036841.0,1081131544578.0,35079775243.0,2061431242.0,5410.0,310961383559.0,907302342024.0,205626551120.0,-120.8619987337229,8720,1144.61,109.6,0.5208,BBB+,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AJ네트웍스,095570,서비스업,2022,1208367577386.0,1132920190871.0,75447386515.0,1208367577386.0,8769534380.0,27642664014.0,27642664014.0,361885842490.0,1481445371745.0,1119559529255.0,301469589101.0,814364855406.0,281612720386.0,209481577325.0,65447736112.0,131861397964.0,244834019461.0,166985381711.0,25270682800.0,94962107923.0,25024737042.0,55310291271.0,93644590,18324411864.0,166985381711.0,1132920000.0,-23706294754.0,50955837979.0,1151946269415.0,45432551164.0,15062903150.0,5720.0,274929313437.0,987698131291.0,192256064511.0,195.68041105204261,9160,1292.2,118.78,0.2292,BBB+,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AK홀딩스,006840,기타금융,2018,3711183102751.0,2665568343390.0,1045614759361.0,269717896055.0,206620398931.0,269802208392.0,269802208392.0,1473897641463.0,3397931239428.0,1924033597965.0,1306700266118.0,1331030390880.0,593003207085.0,453840493657.0,286561670523.0,511412915293.0,490318463854.0,1396079427555.0,190791589054.0,268844631124.0,227029928871.0,327964818346.0,26495122,317257800609.0,1396079427555.0,775896863306.0,-224601812516.0,89961082785.0,2091230973310.0,48569503315.0,69155654847.0,54000.0,740402164180.0,1412620682672.0,1586871016609.0,11974.196631704508,7530,1100.58,103.48,-0.2916,,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34
AK홀딩스,006840,기타금융,2019,3759542062510.0,2832480228690.0,927061833820.0,131336891859.0,58746362285.0,82275053824.0,82275053824.0,1447641242209.0,4327964555085.0,2880323312876.0,1327786611907.0,1565481508107.0,1314841804769.0,635447273773.0,1017137312359.0,284885465272.0,514185532839.0,1430032925300.0,206710520545.0,279222938573.0,253714985212.0,329542789814.0,26495122,274189797509.0,1430032925300.0,795724941961.0,-219324321596.0,-295491697643.0,3000177943178.0,81199586100.0,70221657128.0,34600.0,1652584586132.0,2595437847604.0,1636743445845.0,10348.689751607862,8350,1166.11,103.5,-0.5625,,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34
AK홀딩스,006840,기타금융,2020,2619977218245.0,2157041980835.0,462935237410.0,-221554817267.0,-264310731247.0,-344059726542.0,-344059726542.0,1262662062981.0,4152091609064.0,2889429546083.0,1185254991117.0,1611669522762.0,1277760023321.0,819987142951.0,295250809897.0,405265724715.0,348980060952.0,1476614197949.0,200177835215.0,243210193294.0,236961654579.0,275930959952.0,26495122,-191716473016.0,1476614197949.0,684490054677.0,-18567245199.0,333786285407.0,2966836617947.0,128999575612.0,28968951378.0,25150.0,1115237952848.0,2484163821368.0,1676792033164.0,-7235.915842018014,8590,1180.01,103.03,0.2917,,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34
AK홀딩스,006840,기타금융,2021,3167699652090.0,2661268849899.0,506430802191.0,-165714944091.0,-199326056742.0,-247644312102.0,-247644312102.0,1202359271295.0,4548736656905.0,3346377385610.0,1352749114609.0,1873942574814.0,1472434810796.0,925078696211.0,384833677608.0,515233699800.0,232755815451.0,1634149313500.0,191381008057.0,287334993246.0,375434184299.0,353029488145.0,26495122,-9766237791.0,1634149313500.0,672145746282.0,-38243934197.0,155531010934.0,3195987542296.0,86599716435.0,28727907050.0,19300.0,1309912373819.0,2831143685810.0,1825530321557.0,-368.6051262945685,8720,1144.61,109.6,0.5208,,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34
AK홀딩스,006840,기타금융,2022,3787959855335.0,3077278770459.0,710681084876.0,-21822473627.0,-119048517003.0,-120183179682.0,-120183179682.0,1282338179603.0,5004334961394.0,3721996781791.0,1578818308431.0,2366670547012.0,1355326234779.0,1047537148389.0,340615102956.0,499496214814.0,181440488217.0,1819267723373.0,192096568006.0,332397459388.0,357702291647.0,316428299378.0,26495122,366475089153.0,1819267723373.0,732503558503.0,-463779235207.0,85365700149.0,3425516652963.0,112025110461.0,36359442604.0,17200.0,1388152251345.0,3222500566977.0,2011364291379.0,13831.794741424477,9160,1292.2,118.78,0.2292,,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34
