corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,average_accounts_receivable_per_sales_turnover,market_capitalization,minimum_wag,uskor_exchange_average,PPI_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg
AJ네트웍스,095570,서비스업,2018,-4.725704166965969,-1.2346466810687526,0.8090169561195517,0.9080942529123005,-7.956087664106003,1045526121935.0,1066762174017.0,1066760000.0,-49408471511.0,-4.725704166965969,-0.047257041669659695,2575139461359.0,1.447255303925629,-49408471511.0,40018308289.0,6391243036.0,-83538855287.0,-38978560523.0,2083331488612.0,491807972747.0,446607993588.0,393098130691.0,0.9080942529123005,-9.039097546026493,55.90008576407505,5.236066928674466,674454978990.0,-405696595353.0,2.5095216374755265,217301561087.0,0.3221883859652282,53509862897.0,257683028520.0,28.22972611612561,0.07734171538664551,210934438975.0,7530,1100.58,103.48,-0.29,1.75,,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,198.61355172413795
AJ네트웍스,095570,서비스업,2019,10.702040890691093,1.8920998506382873,0.8073810348005077,1.3185383995930635,3.129399027995933,1000259401598.0,984610078914.0,984610000.0,107048170172.0,10.702040890691093,0.10702040890691093,1803255225986.0,2.3362524478455096,107048170172.0,56576385298.0,4589777483.0,-37909433941.0,-82322628833.0,1455914070366.0,347341155620.0,457982651444.0,334996439685.0,1.3185383995930635,4.278285660634225,34.55880958177589,5.191596782613365,796062818789.0,-317263279101.0,1.6626223561278655,420169967807.0,0.527810064595377,122986211759.0,291467302230.0,38.29519206745698,0.104918334431389,232706806150.0,8350,1166.11,103.5,-0.56,1.25,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,187.79354406130267
AJ네트웍스,095570,서비스업,2020,-2.122140151027129,-0.4137728337959038,0.8186543338338989,1.7573303975115222,-23.579499966819085,871956093147.0,850866952296.0,850870000.0,-18504130352.0,-2.122140151027129,-0.02122140151027129,1588170350000.0,-0.2088448586135612,-18504130352.0,44720505651.0,69792025066.0,17725957273.0,-79124735657.0,1300162539894.0,288007810106.0,506124879420.0,436318141021.0,1.7573303975115222,-27.35199492178761,-391.991614861205,5.51433084198474,661160443861.0,-412605041253.0,2.660012363133884,214890726298.0,0.3250205427340687,69806738399.0,262670778000.0,35.567225457299045,0.09744445330766863,216084891425.0,8590,1180.01,103.03,0.29,0.5,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,157.42230916030533
AJ네트웍스,095570,서비스업,2021,2.2700026244668665,0.6354156326998677,0.7324736556575405,0.8578006343861513,10.126826281044654,981947656833.0,933875938995.0,933880000.0,22290237581.0,2.2700026244668665,0.022700026244668665,1355044449955.0,5.663071279879297,22290237581.0,35079775243.0,2061431242.0,-11318072318.0,-166397685961.0,992534361837.0,362510088118.0,310961383559.0,225729363746.0,0.8578006343861513,13.95056389278061,12.934212187298346,3.7379496305601347,525176778325.0,-251263872948.0,1.9173130145225286,254177185738.0,0.4839840530433834,85232019813.0,113290328000.0,34.662551091675596,0.09496589340185095,253308615950.0,8720,1144.61,109.6,0.52,1.0,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,222.12499233716474
AJ네트웍스,095570,서비스업,2022,2.287603915507065,0.6084330134624619,0.7557211022477776,0.7597128186759534,5.175619665331146,1208367577386.0,1132920190871.0,1132920000.0,27642664014.0,2.287603915507065,0.02287603915507065,1481445371745.0,0.5919579990769644,27642664014.0,45432551164.0,15062903150.0,18324411864.0,42030706618.0,1119559529255.0,361885842490.0,274929313437.0,143067915473.0,0.7597128186759534,9.945832764083749,127.6646490842539,4.0936814812973426,814364855406.0,-512895266305.0,2.7013167657622907,276444852059.0,0.33946068549480685,131861397964.0,209481577325.0,28.684292793485685,0.0785871035437964,267823527400.0,9160,1292.2,118.78,0.23,3.25,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,304.6415576923077
AK홀딩스,006840,기타금융,2018,7.269978357898937,5.5549715351665006,0.566236766547662,0.5023430008647495,0.8487300761982564,3711183102751.0,2665568343390.0,775896863306.0,269802208392.0,7.269978357898937,0.07269978357898937,3397931239428.0,6.080770456255083,269802208392.0,48569503315.0,69155654847.0,317257800609.0,541859613125.0,1924033597965.0,1473897641463.0,740402164180.0,228989248887.0,0.5023430008647495,2.7442405627171804,9.311924707915809,2.305405167793872,1331030390880.0,-24330124762.0,1.0186195146606045,1079670337247.0,0.8111537832980543,511412915293.0,453840493657.0,26.44124195529995,0.0724417587816437,715368294000.0,7530,1100.58,103.48,-0.29,1.75,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,198.61355172413795
AK홀딩스,006840,기타금융,2019,2.188432858470809,1.0132447439162502,0.6655145337296856,1.1415705341540772,16.6234971269145,3759542062510.0,2832480228690.0,795724941961.0,82275053824.0,2.188432858470809,0.02188432858470809,4327964555085.0,1.3573669917416002,82275053824.0,81199586100.0,70221657128.0,274189797509.0,493514119105.0,2880323312876.0,1447641242209.0,1652584586132.0,1367699120860.0,1.1415705341540772,20.086095472719506,49.02981564888227,2.989666520194483,1565481508107.0,-237694896200.0,1.179015885586176,1074071626695.0,0.6860966553311645,284885465272.0,635447273773.0,27.10871986124345,0.07427046537326973,458365610600.0,8350,1166.11,103.5,-0.56,1.25,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,187.79354406130267
AK홀딩스,006840,기타금융,2020,-13.132164819832651,-2.667138437546878,0.695897349609384,0.8832434152769676,-2.063514481246129,2619977218245.0,2157041980835.0,684490054677.0,-344059726542.0,-13.132164819832651,-0.1313216481983265,4152091609064.0,-6.365724943785217,-344059726542.0,128999575612.0,28968951378.0,-191716473016.0,-173149227817.0,2889429546083.0,1262662062981.0,1115237952848.0,709972228133.0,0.8832434152769676,-3.241408008012995,-10.93194185665814,3.2883633165166843,1611669522762.0,-426414531645.0,1.3597660713017892,948293336538.0,0.5883919272189633,405265724715.0,819987142951.0,33.88263070919907,0.09282912523068239,333176159150.0,8590,1180.01,103.03,0.29,0.5,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,157.42230916030533
AK홀딩스,006840,기타금융,2021,-7.817796486437975,-2.8596434526188874,0.7356718223136057,1.0894517180444412,-3.2089518522504443,3167699652090.0,2661268849899.0,672145746282.0,-247644312102.0,-7.817796486437975,-0.07817796486437975,4548736656905.0,-4.38200915499081,-247644312102.0,86599716435.0,28727907050.0,-9766237791.0,28477696406.0,3346377385610.0,1202359271295.0,1309912373819.0,794678674019.0,1.0894517180444412,-5.289491055540464,-16.78845927274537,3.7831759321037106,1873942574814.0,-521193460205.0,1.3852846433801926,977314930310.0,0.5215287509047626,515233699800.0,925078696211.0,33.10833855905296,0.0907077768741177,255677927300.0,8720,1144.61,109.6,0.52,1.0,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,222.12499233716474
AK홀딩스,006840,기타금융,2022,-3.1727680406309697,-1.0728235766733756,0.7437545269260326,1.0825165104066066,-7.3941797752593095,3787959855335.0,3077278770459.0,732503558503.0,-120183179682.0,-3.1727680406309697,-0.031727680406309695,5004334961394.0,-2.378907845326126,-120183179682.0,112025110461.0,36359442604.0,366475089153.0,830254324360.0,3721996781791.0,1282338179603.0,1388152251345.0,888656036531.0,1.0825165104066066,-11.550303919550112,-31.264537144105763,3.9025079663020685,2366670547012.0,-787852238581.0,1.4990138728274267,1221116016784.0,0.5159636681690654,499496214814.0,1047537148389.0,32.029133705243616,0.08775105124724279,227858049200.0,9160,1292.2,118.78,0.23,3.25,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,304.6415576923077
