corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,roa,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,average_accounts_receivable_per_sales_turnover,market_capitalization,minimum_wag,uskor_exchange_average,PPI_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,return_on_assets,return_on_invested_capital,current_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,operating_income,net_income,fixed_assets,total_asset_turnover,net_working_capital_turnover,fixed_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover
AJ네트웍스,095570,서비스업,2018,-4.725704166965969,-1.2346466810687526,0.8090169561195517,0.9080942529123005,-7.956087664106003,1045526121935.0,1066762174017.0,1066760000.0,-49408471511.0,-4.725704166965969,-0.047257041669659695,2575139461359.0,1.447255303925629,-49408471511.0,40018308289.0,6391243036.0,-83538855287.0,-38978560523.0,2083331488612.0,491807972747.0,446607993588.0,393098130691.0,0.9080942529123005,-9.039097546026493,55.90008576407505,5.236066928674466,674454978990.0,-405696595353.0,2.5095216374755265,217301561087.0,0.3221883859652282,53509862897.0,257683028520.0,28.22972611612561,0.07734171538664551,210934438975.0,7530,1100.58,103.48,-0.29,1.75,,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,198.61355172413795,-2.0311354863805344,100.0,3.56460174988502,7.5779256342337,1.447255303925629,0.4060075726474386,0.3984823183297826,0.18416917748474643,0.19098304388044834,-1.2346466810687526,4.236066928674466,0.1526512006784856,4.217321029288041,795.9635989222655,10503.713513978757,5.659806561631422,0.4288959322819085,-2.524985987063493,-12.22528346240223,1045526121935.0,37268842438.0,324537268387.0,0.4060075726474386,-2.577113374652008,3.2215903188297146,12.929633057669013,20.731209607442036,27.150479085518512
AJ네트웍스,095570,서비스업,2019,10.702040890691093,1.8920998506382873,0.8073810348005077,1.3185383995930635,3.129399027995933,1000259401598.0,984610078914.0,984610000.0,107048170172.0,10.702040890691093,0.10702040890691093,1803255225986.0,2.3362524478455096,107048170172.0,56576385298.0,4589777483.0,-37909433941.0,-82322628833.0,1455914070366.0,347341155620.0,457982651444.0,334996439685.0,1.3185383995930635,4.278285660634225,34.55880958177589,5.191596782613365,796062818789.0,-317263279101.0,1.6626223561278655,420169967807.0,0.527810064595377,122986211759.0,291467302230.0,38.29519206745698,0.104918334431389,232706806150.0,8350,1166.11,103.5,-0.56,1.25,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,187.79354406130267,1.5645264277445299,100.0,4.211766896736583,12.128880691607344,2.3362524478455096,0.5546965217034484,0.6014594933806449,0.36549290352208685,0.19261896519949231,1.8920998506382873,4.191596782613365,0.18577317001914007,4.718215730363059,899.7550068402243,7418.285575707043,5.523725861169403,0.6699661194326972,-6.138493297266614,5.303250349098363,1000259401598.0,42128594358.0,356684852973.0,0.5546965217034484,-3.1527739498637968,2.804322620545136,9.531222597266321,16.79374498781017,30.242796449176367
AJ네트웍스,095570,서비스업,2020,-2.122140151027129,-0.4137728337959038,0.8186543338338989,1.7573303975115222,-23.579499966819085,871956093147.0,850866952296.0,850870000.0,-18504130352.0,-2.122140151027129,-0.02122140151027129,1588170350000.0,-0.2088448586135612,-18504130352.0,44720505651.0,69792025066.0,17725957273.0,-79124735657.0,1300162539894.0,288007810106.0,506124879420.0,436318141021.0,1.7573303975115222,-27.35199492178761,-391.991614861205,5.51433084198474,661160443861.0,-412605041253.0,2.660012363133884,214890726298.0,0.3250205427340687,69806738399.0,262670778000.0,35.567225457299045,0.09744445330766863,216084891425.0,8590,1180.01,103.03,0.29,0.5,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,157.42230916030533,2.418601236546971,100.0,-0.38038751584718045,-1.1516396450427029,-0.2088448586135612,0.5490318423001663,0.3759381023409431,0.37229325126678003,0.18134566616610115,-0.4137728337959038,4.51433084198474,0.27473006344753886,-54.457460188937404,-70.83830730638043,6151.082728986266,-65.1483664063261,0.7502744156329334,12.190308714900173,-35.257157187907815,871956093147.0,-3316812122.0,271295515795.0,0.5490318423001663,-2.1132948121502384,3.21404535785206,10.26225676327236,25.274770042664937,21.77684361749785
AJ네트웍스,095570,서비스업,2021,2.2700026244668665,0.6354156326998677,0.7324736556575405,0.8578006343861513,10.126826281044654,981947656833.0,933875938995.0,933880000.0,22290237581.0,2.2700026244668665,0.022700026244668665,1355044449955.0,5.663071279879297,22290237581.0,35079775243.0,2061431242.0,-11318072318.0,-166397685961.0,992534361837.0,362510088118.0,310961383559.0,225729363746.0,0.8578006343861513,13.95056389278061,12.934212187298346,3.7379496305601347,525176778325.0,-251263872948.0,1.9173130145225286,254177185738.0,0.4839840530433834,85232019813.0,113290328000.0,34.662551091675596,0.09496589340185095,253308615950.0,8720,1144.61,109.6,0.52,1.0,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,222.12499233716474,4.8955478943798285,100.0,7.81478855222226,21.168275198460528,5.663071279879297,0.7246608455284325,0.5215632462856001,0.3449020314628945,0.26752634434245953,0.6354156326998677,2.7379496305601347,0.16658447164113052,3.230834753282839,1638.9015761615274,7742.253730151416,3.3009913949016787,0.6987629427502883,-22.38089745611042,21.490931981107625,981947656833.0,76737133075.0,205626551120.0,0.7246608455284325,-3.908033595566752,4.775393311245846,10.530096271178861,47.31907202155204,21.68887168566334
AJ네트웍스,095570,서비스업,2022,2.287603915507065,0.6084330134624619,0.7557211022477776,0.7597128186759534,5.175619665331146,1208367577386.0,1132920190871.0,1132920000.0,27642664014.0,2.287603915507065,0.02287603915507065,1481445371745.0,0.5919579990769644,27642664014.0,45432551164.0,15062903150.0,18324411864.0,42030706618.0,1119559529255.0,361885842490.0,274929313437.0,143067915473.0,0.7597128186759534,9.945832764083749,127.6646490842539,4.0936814812973426,814364855406.0,-512895266305.0,2.7013167657622907,276444852059.0,0.33946068549480685,131861397964.0,209481577325.0,28.684292793485685,0.0785871035437964,267823527400.0,9160,1292.2,118.78,0.23,3.25,BBB,770.0,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,304.6415576923077,6.243744695485084,100.0,0.7257340021461588,2.4232874985271993,0.5919579990769644,0.8156679958861118,0.3701898321124171,0.19009321960639516,0.24427889775222242,0.6084330134624619,3.0936814812973426,0.09657319682633979,27.918702276756456,187.29398847279913,7728.921499683003,30.540222068209737,0.7400773834013713,14.615668398403775,14.864393774236031,1208367577386.0,8769534380.0,192256064511.0,0.8156679958861118,-2.35597334732941,6.28519875541748,12.724734147285405,45.27201180853871,20.482990865481245
AK홀딩스,006840,기타금융,2018,7.269978357898937,5.5549715351665006,0.566236766547662,0.5023430008647495,0.8487300761982564,3711183102751.0,2665568343390.0,775896863306.0,269802208392.0,7.269978357898937,0.07269978357898937,3397931239428.0,6.080770456255083,269802208392.0,48569503315.0,69155654847.0,317257800609.0,541859613125.0,1924033597965.0,1473897641463.0,740402164180.0,228989248887.0,0.5023430008647495,2.7442405627171804,9.311924707915809,2.305405167793872,1331030390880.0,-24330124762.0,1.0186195146606045,1079670337247.0,0.8111537832980543,511412915293.0,453840493657.0,26.44124195529995,0.0724417587816437,715368294000.0,7530,1100.58,103.48,-0.29,1.75,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,198.61355172413795,28.174701447253142,7.26770651264998,5.56750753628507,14.01863963401877,6.080770456255083,0.0793770906619063,0.9817208345288688,0.17451889555741124,0.4337632334523381,5.5549715351665006,1.3054051677938723,0.06739078361266296,2.373039963095511,15596.863372133179,111258.03772203805,3.4622345988156487,0.4853581916922812,2.254848557314579,3.5001846297526504,269717896055.0,206620398931.0,1586871016609.0,1.0921889941998155,-152.5344871452246,2.338679743916089,13.804192731077007,11.741043820282368,8.127604530367183
AK홀딩스,006840,기타금융,2019,2.188432858470809,1.0132447439162502,0.6655145337296856,1.1415705341540772,16.6234971269145,3759542062510.0,2832480228690.0,795724941961.0,82275053824.0,2.188432858470809,0.02188432858470809,4327964555085.0,1.3573669917416002,82275053824.0,81199586100.0,70221657128.0,274189797509.0,493514119105.0,2880323312876.0,1447641242209.0,1652584586132.0,1367699120860.0,1.1415705341540772,20.086095472719506,49.02981564888227,2.989666520194483,1565481508107.0,-237694896200.0,1.179015885586176,1074071626695.0,0.6860966553311645,284885465272.0,635447273773.0,27.10871986124345,0.07427046537326973,458365610600.0,8350,1166.11,103.5,-0.56,1.25,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,187.79354406130267,24.658903089943394,3.493427914231526,1.5625935634772203,4.058074650826964,1.3573669917416002,0.030346110784269253,0.8481649927073085,0.3038014262903724,0.3344854662703144,1.0132447439162502,1.9896665201944832,0.31601439971431067,8.752636126548547,4434.504003038748,109276.05785012049,7.802450956474572,0.3166292844079006,1.6717092129766593,22.194634297854797,131336891859.0,58746362285.0,1636743445845.0,0.8686628586393688,-15.81667138257216,2.296964788253094,13.464302330329877,11.164024175880769,8.595181919436635
AK홀딩스,006840,기타금융,2020,-13.132164819832651,-2.667138437546878,0.695897349609384,0.8832434152769676,-2.063514481246129,2619977218245.0,2157041980835.0,684490054677.0,-344059726542.0,-13.132164819832651,-0.1313216481983265,4152091609064.0,-6.365724943785217,-344059726542.0,128999575612.0,28968951378.0,-191716473016.0,-173149227817.0,2889429546083.0,1262662062981.0,1115237952848.0,709972228133.0,0.8832434152769676,-3.241408008012995,-10.93194185665814,3.2883633165166843,1611669522762.0,-426414531645.0,1.3597660713017892,948293336538.0,0.5883919272189633,405265724715.0,819987142951.0,33.88263070919907,0.09282912523068239,333176159150.0,8590,1180.01,103.03,0.29,0.5,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,157.42230916030533,17.669437512136028,-8.456364266228588,-10.088283570039948,-20.93281638817854,-6.365724943785217,-0.05335980949537498,0.7354206146963481,0.3077388804552517,0.304102650390616,-2.667138437546878,2.2883633165166843,0.17099146526129946,-1.320340113719696,-19951.652326567888,95312.7947839606,-1.260547226282102,0.26386803636390993,-1.7378587969443515,-3.0318816961440005,-221554817267.0,-264310731247.0,1676792033164.0,0.6310017853473174,-6.144202469221176,1.5624938372955348,10.772481131487325,9.10291576359613,7.817324961324498
AK홀딩스,006840,기타금융,2021,-7.817796486437975,-2.8596434526188874,0.7356718223136057,1.0894517180444412,-3.2089518522504443,3167699652090.0,2661268849899.0,672145746282.0,-247644312102.0,-7.817796486437975,-0.07817796486437975,4548736656905.0,-4.38200915499081,-247644312102.0,86599716435.0,28727907050.0,-9766237791.0,28477696406.0,3346377385610.0,1202359271295.0,1309912373819.0,794678674019.0,1.0894517180444412,-5.289491055540464,-16.78845927274537,3.7831759321037106,1873942574814.0,-521193460205.0,1.3852846433801926,977314930310.0,0.5215287509047626,515233699800.0,925078696211.0,33.10833855905296,0.0907077768741177,255677927300.0,8720,1144.61,109.6,0.52,1.0,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,222.12499233716474,15.987336484280151,-5.2313969849276525,-6.292454419107813,-16.577911569419353,-4.38200915499081,-0.03643098218039158,0.7218733021972503,0.3237019247005294,0.2643281776863943,-2.8596434526188874,2.7831759321037106,0.174703161330009,-1.1677139419472398,-15046.245625289062,90760.80278437669,-1.2827120120624254,0.21264686305002856,-26.17977697979236,-4.2413919883868685,-165714944091.0,-199326056742.0,1825530321557.0,0.6963910841665057,-6.077780889353552,1.7352216036533756,11.024413059839162,7.088509680779456,7.538375516115344
AK홀딩스,006840,기타금융,2022,-3.1727680406309697,-1.0728235766733756,0.7437545269260326,1.0825165104066066,-7.3941797752593095,3787959855335.0,3077278770459.0,732503558503.0,-120183179682.0,-3.1727680406309697,-0.031727680406309695,5004334961394.0,-2.378907845326126,-120183179682.0,112025110461.0,36359442604.0,366475089153.0,830254324360.0,3721996781791.0,1282338179603.0,1388152251345.0,888656036531.0,1.0825165104066066,-11.550303919550112,-31.264537144105763,3.9025079663020685,2366670547012.0,-787852238581.0,1.4990138728274267,1221116016784.0,0.5159636681690654,499496214814.0,1047537148389.0,32.029133705243616,0.08775105124724279,227858049200.0,9160,1292.2,118.78,0.23,3.25,,135.0,2.9,2.8,3.0,2.5,2.9,2.4,0.46,0.65,0.34,304.6415576923077,18.761579109004277,-0.5761009741501092,-3.1428135869848486,-9.283706817483694,-2.378907845326126,-0.004360714020014592,0.667105233731966,0.2708304390562742,0.25624547307396744,-1.0728235766733756,2.9025079663020685,0.1775772492022511,-1.5240886050888625,-8986.447920715367,96798.05811824532,-1.9139931763640368,0.17768951500028077,0.6217559008625314,-9.290102730558907,-21822473627.0,-119048517003.0,2011364291379.0,0.7569357136477195,-4.807957215629026,1.8832788627951422,11.39587487313915,8.602904824260465,9.725042850174832
