corp,stock_code,sector,year,kis_bond_type,kis_rank,nice_bond_type,nice_rank,rank
AJ네트웍스,95570,서비스업,2019,SB,BBB+,NULL,NULL,BBB
AJ네트웍스,95570,서비스업,2020,SB,BBB+,NULL,NULL,BBB
AJ네트웍스,95570,서비스업,2021,PP,BBB+,NULL,NULL,BBB
AJ네트웍스,95570,서비스업,2022,PP,BBB+,NULL,NULL,BBB
CJ,1040,기타금융,2018,NULL,NULL,SB,AA-,AA-
CJ,1040,기타금융,2019,NULL,NULL,SB,AA-,AA-
CJ,1040,기타금융,2020,NULL,NULL,SB,AA-,AA-
CJ,1040,기타금융,2021,NULL,NULL,SB,AA-,AA-
CJ,1040,기타금융,2022,NULL,NULL,SB,AA-,AA-
CJ대한통운,120,운수창고업,2018,SB,AA-,SB,AA-,AA-
CJ대한통운,120,운수창고업,2019,PP,AA-,SB,AA-,AA-
CJ대한통운,120,운수창고업,2020,SB,AA-,SB,AA-,AA-
CJ대한통운,120,운수창고업,2021,SB,AA-,SB,AA-,AA-
CJ대한통운,120,운수창고업,2022,SB,AA-,SB,AA-,AA-
CJ제일제당,97950,음식료품,2018,SB,AA,SB,AA,AA
CJ제일제당,97950,음식료품,2019,SB,AA,SB,AA,AA
CJ제일제당,97950,음식료품,2020,SB,AA,SB,AA,AA
CJ제일제당,97950,음식료품,2021,SB,AA,SB,AA,AA
CJ제일제당,97950,음식료품,2022,SB,AA,SB,AA,AA
DL,210,화학,2020,SB,AA-,SB,AA-,AA-
DL,210,화학,2021,SB,AA-,SB,AA-,AA-
DL,210,화학,2022,SB,AA-,SB,AA-,AA-
DL,210,화학,2018,NULL,NULL,SB,AA-,AA-
DL,210,화학,2019,NULL,NULL,SB,AA-,AA-
DL이앤씨,375500,건설업,2020,SB,AA-,SB,AA-,AA-
DL이앤씨,375500,건설업,2021,SB,AA-,NULL,NULL,AA-
DL이앤씨,375500,건설업,2022,SB,AA-,NULL,NULL,AA-
DN오토모티브,7340,전기전자,2020,NULL,NULL,SB,A,A
DN오토모티브,7340,전기전자,2021,NULL,NULL,SB,A-,A-
DN오토모티브,7340,전기전자,2022,NULL,NULL,SB,A-,A-
E1,17940,유통업,2018,SB,A+,NULL,NULL,A+
E1,17940,유통업,2019,SB,A+,NULL,NULL,A+
E1,17940,유통업,2020,SB,A+,NULL,NULL,A+
E1,17940,유통업,2021,SB,A+,NULL,NULL,A+
E1,17940,유통업,2022,SB,A+,NULL,NULL,A+
GS,78930,기타금융,2018,SB,AA,SB,AA,AA
GS,78930,기타금융,2019,SB,AA,SB,AA,AA
GS,78930,기타금융,2020,SB,AA,SB,AA,AA
GS,78930,기타금융,2021,SB,AA,SB,AA,AA
GS,78930,기타금융,2022,SB,AA,SB,AA,AA
GS건설,6360,건설업,2018,NULL,NULL,SB,A,A
GS건설,6360,건설업,2019,NULL,NULL,SB,A,A
GS건설,6360,건설업,2020,NULL,NULL,SB,A+,A+
GS건설,6360,건설업,2021,NULL,NULL,SB,A+,A+
