corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,tangible_assets,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,market_capitalization,borrowings,net_liabilities,cash_flow_per_share
AJ네트웍스,095570,서비스업,2018,1045526121935,1066762174017,-21236052082,1045526121935,37268842438,-49408471511,-49408471511,491807972747,2575139461359,2083331488612,268758383637,674454978990,474261316507,257683028520,254210491192,53509862897,157174672951,245055468592,79481799795,80862783752,51456822550,39290731138,46822295,-83538855287,1066760000,-44560294764,127467709681,1063068630148,40018308289,6391243036,4505,210934438975,511893519712,2029821625715,-1784.1683174009304
AJ네트웍스,095570,서비스업,2019,1000259401598,984610078914,15649322684,1000259401598,42128594358,107048170172,107048170172,347341155620,1803255225986,1455914070366,478799539688,796062818789,659076988337,291467302230,358407163005,122986211759,198771796598,272817241977,83867610996,104945550415,58629571881,32556846407,46822295,-37909433941,984610000,44413194892,64330327472,1302199830881,56576385298,4589777483,4970,232706806150,649874465235,1332927858607,-809.6449339144953
AJ네트웍스,095570,서비스업,2020,871956093147,850866952296,21089140851,871956093147,-3316812122,-18504130352,-18504130352,288007810106,1588170350000,1300162539894,248555402608,661160443861,591265103167,262670778000,209018939105,69806738399,180625164088,229558956116,41736559679,84967284805,33664676310,39072097281,46822295,17725957273,850870000,96850692930,-121189249712,1233483716249,44720505651,69792025066,4615,216084891425,471689717105,1230355801495,378.5794197614619
AJ네트웍스,095570,서비스업,2021,981947656833,933875938995,48071717838,981947656833,76737133075,22290237581,22290237581,362510088118,1355044449955,992534361837,273912905377,525176778325,467357583512,113290328000,223293807977,85232019813,247924996406,177684993354,27941557766,93251536505,19735719639,43057838717,46822295,-11318072318,933880000,155079613643,-129810036841,1081131544578,35079775243,2061431242,5410,253308615950,336584135977,907302342024,-241.7239974674458
AJ네트웍스,095570,서비스업,2022,1208367577386,1132920190871,75447386515,1208367577386,8769534380,27642664014,27642664014,361885842490,1481445371745,1119559529255,301469589101,814364855406,281612720386,209481577325,173582204785,131861397964,244834019461,166985381711,25270682800,94962107923,25024737042,55310291271,46822295,18324411864,1132920000,-23706294754,50955837979,1151946269415,45432551164,15062903150,5720,267823527400,383063782110,987698131291,391.36082210408523
AK홀딩스,006840,기타금융,2018,3711183102751,2665568343390,1045614759361,269717896055,206620398931,269802208392,269802208392,1473897641463,3397931239428,1924033597965,1306700266118,1331030390880,593003207085,453840493657,286561670523,511412915293,490318463854,1396079427555,190791589054,268844631124,227029928871,327964818346,13247561,317257800609,775896863306,-224601812516,89961082785,2091230973310,48569503315,69155654847,54000,715368294000,740402164180,1412620682672,23948.393263409016
AK홀딩스,006840,기타금융,2019,3759542062510,2832480228690,927061833820,131336891859,58746362285,82275053824,82275053824,1447641242209,4327964555085,2880323312876,1327786611907,1565481508107,1314841804769,635447273773,1017137312359,284885465272,514185532839,1430032925300,206710520545,279222938573,253714985212,329542789814,13247561,274189797509,795724941961,-219324321596,-295491697643,3000177943178,81199586100,70221657128,34600,458365610600,1652584586132,2595437847604,20697.379503215725
AK홀딩스,006840,기타금융,2020,2619977218245,2157041980835,462935237410,-221554817267,-264310731247,-344059726542,-344059726542,1262662062981,4152091609064,2889429546083,1185254991117,1611669522762,1277760023321,819987142951,295250809897,405265724715,348980060952,1476614197949,200177835215,243210193294,236961654579,275930959952,13247561,-191716473016,684490054677,-18567245199,333786285407,2966836617947,128999575612,28968951378,25150,333176159150,1115237952848,2484163821368,-14471.831684036028
AK홀딩스,006840,기타금융,2021,3167699652090,2661268849899,506430802191,-165714944091,-199326056742,-247644312102,-247644312102,1202359271295,4548736656905,3346377385610,1352749114609,1873942574814,1472434810796,925078696211,384833677608,515233699800,232755815451,1634149313500,191381008057,287334993246,375434184299,353029488145,13247561,-9766237791,672145746282,-38243934197,155531010934,3195987542296,86599716435,28727907050,19300,255677927300,1309912373819,2831143685810,-737.210252589137
AK홀딩스,006840,기타금융,2022,3787959855335,3077278770459,710681084876,-21822473627,-119048517003,-120183179682,-120183179682,1282338179603,5004334961394,3721996781791,1578818308431,2366670547012,1355326234779,1047537148389,340615102956,499496214814,181440488217,1819267723373,192096568006,332397459388,357702291647,316428299378,13247561,366475089153,732503558503,-463779235207,85365700149,3425516652963,112025110461,36359442604,17200,227858049200,1388152251345,3222500566977,27663.589482848955
BGF,027410,기타금융,2018,220593918847,100510815182,120083103665,29473341965,47204820813,52254778048,52254778048,1515742109732,1624874724266,109132614534,315224626445,57669532526,51463082008,19368000000,5827000000,12525946607,650872181482,196524611117,30436903926,13145797384,3292346684,2853451783,95369179,-29202164098,90506761700,29422726167,-3719220910,1309650097821,3061316900,47858860712,8070,769629274530,25195000000,96606667927,-306.2012738727676
BGF,027410,기타금융,2019,133387713837,58349044915,75038668922,26355506906,17515291535,24585396620,24585396620,1528254724663,1657381460248,129126735585,319699376878,63739516570,65387219015,19224999992,827000000,14422698054,672348760433,196153387372,23553592571,11885837081,2916200656,3741330171,95716791,13834576609,48683162016,-402199801,-11535625361,1337682083370,1451391592,7501375200,5600,536014029600,20051999992,114704037531,144.53656944056974
BGF,027410,기타금융,2020,154381286305,86830240244,67551046061,14640997513,17880953455,16140824575,16140824575,1537099088353,1658204361732,121105273379,462774741845,68967757266,52137516113,990000000,12660000000,8172988455,688692452034,54835791920,12667210365,11987416014,2325415529,8105344981,95716791,21350276234,52910048548,-29231499687,2413975710,1195429619887,7065976830,4237814936,4895,468533691945,13650000000,112932284924,223.05674909222563
BGF,027410,기타금융,2021,150187760830,75712418716,74475342114,37907480279,35977028709,43537431399,43537431399,1732763395151,1981622039251,248858644100,468763642007,114382730119,134475913981,18338263524,13904588250,207259298482,744290812770,117609920160,207224927432,56356635531,50263040852,28334629429,95716791,1524674595,36567861835,166802124051,29977049525,1512858397244,3026964657,2478273042,5290,506341824390,32242851774,41599345618,15.929019131032089
BGF,027410,기타금융,2022,434997439995,303418248317,131579191678,61203792653,26176881012,38895385596,38895385596,1736523419389,1938013970903,201490551514,422786609370,71497959445,129992592069,1607679101,14360000000,179908804186,762765362124,131437458495,177739416335,63075663436,59748645880,20542053839,95716791,207458308,70375399025,5798604526,-33324626259,1515227361533,20496253656,18219070369,4305,412060785255,15967679101,21581747328,2.1674181283407212
BGF리테일,282330,유통업,2018,5775862323457,4756223688566,1019638634891,189516685804,154186683020,202539442162,202539442162,521663029677,1482568536572,960905506895,696072311454,763691794052,197213712843,5094238750,0,35338825797,160313848097,486125142793,50785549949,54342857209,103393148174,521468994022,17283906,345797723349,825414394414,-324215949917,-14980971250,786496225118,7691504998,29362559619,204000,3525916824000,5094238750,925566681098,20006.91992591258
BGF리테일,282330,유통업,2019,5946068219555,4889561258211,1056506961344,196623293754,151377053549,201078376312,201078376312,622595762075,2172410899706,1549815137631,744140651570,950726347343,599088790288,2294238750,9434863790,28047949946,261246580495,549816981097,48663894886,55903650506,90874465894,533833415394,17283906,532814863392,859796389576,-293909155284,-246196602606,1428270248136,20347106000,51007491609,169500,2929622067000,11729102540,1521767187685,30827.225245960028
BGF리테일,282330,유통업,2020,6181269419288,5129513382786,1051756036502,162204243583,122711267434,163103983178,163103983178,696827910319,2371169598247,1674341687928,829086121576,1003393099606,670948588322,8453238750,13912033880,24011314610,335710622447,591452944612,37913280592,54348467536,121544699913,571497857208,17283906,507341460255,889488788714,-266360892536,-245000807978,1542083476671,23458458195,47810302684,135500,2341969263000,22365272630,1650330373318,29353.403117038473
BGF리테일,282330,유통업,2021,6781161259022,5604063733435,1177097525587,199441703668,147642852239,192516329566,192516329566,809319369409,2596378756682,1787059387273,808328772196,1016456191788,770603195485,6090000000,1092033880,54442437355,445675687507,614077692952,33984640650,73163133684,108457562501,506202443689,17283906,538147659919,977487554382,-239089231635,-268623346281,1788049984486,23367410728,42328336723,145500,2514808323000,7182033880,1732616949918,31135.766412927725
BGF리테일,282330,유통업,2022,7615769467741,6229570187158,1386199280583,252407573570,193538863026,254068774008,254068774008,962627643775,2946235271626,1983607627851,889900434324,1102246622172,881361005679,12290000000,0,268595922005,600078132187,690462607488,37698599585,127653656964,124841356071,526378150123,17283906,630424675866,1133018580665,-98479901855,-317632966757,2056334837302,31597074298,53401235328,210500,3638262213000,12290000000,1715011705846,36474.664688988705
BYC,001460,섬유의복,2018,197864080352,124040904813,73823175539,21346820739,9092446196,19181901417,19181901417,407403446983,738431267101,331027820118,89810780063,82142589839,248885230279,11537425312,155000000000,27032561999,396820011520,66659239000,311705219,6020220719,54609507716,16643723139,624615,49052410181,38687251077,-21463281256,-20660505521,648620487038,8790422481,3860076605,246000,153655290000,166537425312,303995258119,78532.23214460108
BYC,001460,섬유의복,2019,170589026967,101169466025,69419560942,23393686890,27788949736,41765310036,41765310036,434327453651,693882852856,259555399205,118321885500,109379625182,150175774023,56319315869,56500000000,14794923014,423837613913,68972515251,289695519,5923595226,45676332163,13814107211,624615,18715998757,36275124513,41944072260,-73191907439,575560967356,8442574613,11647125024,236500,147721447500,112819315869,244760476191,29964.055869615684
BYC,001460,섬유의복,2020,161863377007,93110793721,68752583286,22940934002,18285121577,28229972083,28229972083,452668025243,679134863796,226466838553,116356314223,121169200638,105297637915,38809977600,45500000000,45351790241,441628493381,61432622412,517444465,4338336779,34704886422,12211804952,624615,35408711119,37823597095,26188306973,-31102655713,562778549573,5939971244,14488793291,286500,178952197500,84309977600,181115048312,56688.858127006235
BYC,001460,섬유의복,2021,164445893789,94549164714,69896729075,26711346464,29855489397,40190338094,40190338094,481812264546,684434512150,202622247604,133338983564,130677556899,71944690705,28227390764,0,51701715910,470032300953,69036986885,430262619,4923098323,30955006187,14654573159,624615,35707429153,35853941946,3766574811,-33059365189,551095528586,3109425101,8555730683,450500,281389057500,28227390764,150920531694,57167.101579372895
BYC,001460,섬유의복,2022,169680336869,97946673770,71733663099,25326353051,35286502037,48115688693,48115688693,515737286382,668872026401,153134740019,120182142295,79177003824,73957736195,28274736768,0,55069881153,503974539235,77727018083,649545711,4897177642,38420149882,15071770174,624615,10468407024,39372632161,43321938941,-50413187488,548689884106,3470943339,12251693281,366000,228609090000,28274736768,98064858866,16759.775259960137
