sector,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,average_accounts_receivable_per_sales_turnover,market_capitalization,minimum_wag,uskor_exchange_average,PPI_year,kor_usa_ir_diff,kr_standard_yield,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,return_on_invested_capital,current_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,operating_income,net_income,fixed_assets,total_asset_turnover,net_working_capital_turnover,fixed_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover
건설업,6.464033014765716,112.39742488761586,0.6422963714371592,0.3881091689941565,0.17761512641220134,8366208961781.167,7384990172180.391,420960303956.5214,468045755825.24286,6.464033014765716,0.06464033014765716,10037658978953.791,3.884019229293802,468045755825.24286,104618112655.72144,153181101105.21713,350835284940.1443,622987715449.9286,6192831768295.927,3844827210657.8623,1025024365635.6387,-338841758571.7472,0.3881091689941565,3.361008476243728,25.186961689053742,3.096932149324703,4340716905183.289,2314155318122.4785,0.688655597807538,5603942740023.314,1.2246634835606354,1363866124207.3857,638464788840.3643,60.217554669525256,0.1649796018343158,2122709307645.0715,8470.0,1176.702,107.678,0.03799999999999999,1.55,1220.8857142857144,3.0945714285714283,3.048571428571429,2.9834857142857145,2.8250571428571427,3.0271,2.2443285714285715,2.070671428571429,2.0392714285714284,1.969,214.11919099504365,13.25175405997694,7.494913154323693,5.303636574284347,12.920113258729861,0.05616980428650882,1.5180355542570623,0.19945541958369012,0.3577036285628409,112.39742488761586,2.096932149324703,-0.0011664663575250355,8.305119329190267,5159.411934574657,51297.33334145988,6.685290743933898,0.5533375392482667,-5.7371080512313855,4.545131911325206,526008162459.3629,335854288949.06854,1008271384973.0586,0.773922916545335,8.827770603447647,11.2693840795868,7.1851978017239775,7.149323603452411,8.537140688531908
기계,3.1141803773928767,1.957000490980335,0.6562979196867996,0.450180882146525,5.3811873339294936,4771534670701.798,3995630182944.0674,495055167570.9797,110393944954.25713,3.1141803773928767,0.031141803773928767,7569396943400.6455,2.2876794857374034,110393944954.25713,229000262514.575,65012249636.04762,334520878322.3726,656426502236.8523,5050652728841.466,2518744214525.8467,891414396936.6143,183846685068.47382,0.450180882146525,8.830440824089692,50.816608331931164,3.1124402922691305,3253092411184.149,46064184645.471436,0.9090794449000384,2447279136339.9976,0.8764933419606221,707567711868.1404,424175086716.79285,61.94455162759387,0.16971110034957224,2484513283863.4785,8470.0,1176.702,107.678,0.03799999999999999,1.55,943.6724285714287,3.15975,3.1429761904761904,3.5404404761904757,3.0943214285714284,2.884607142857143,2.3157380952380953,1.7472380952380953,1.712797619047619,1.597738095238095,214.11919099504365,15.725160245731715,5.014341647619557,2.7445944349238607,6.775872007464605,0.03838141326497772,1.209141589112468,0.21156067283489127,0.3437020803035346,1.957000490980335,2.1124402922491377,0.0503510831076132,13.614020505599736,1459.8374342145403,28706.478705472564,33.111682493350045,1.3394961857263297,11.89103749726927,22.273339091863,280849320186.75116,80244686624.9369,3649377329171.586,0.7614114039114579,29.08845087703993,3.2160729203500273,7.443143098357321,8.427614488782762,7.646821990463039
기타금융,3.969036348567312,1.8572217445675523,0.5924480583780948,0.4796452463188885,-2.427305542086406,14097864868701.488,11772342291536.408,1584242142963.4822,554138284602.3549,3.969036348567312,0.03969036348567311,18435346954458.32,2.145528348629066,554138284602.3549,552992300988.5386,251788807351.37192,826570947858.0383,1706292372844.3184,11167723916429.92,7267623038028.398,3120010524183.2134,1975753786655.8784,0.4796452463188885,-1.0842085311741831,38.49266705059218,2.60487832793456,5963620938464.557,271669947895.53955,1.030816816338095,4676131227159.356,0.8292680768592025,1144256737527.3347,1352566928129.4043,48.2933209149419,0.13231046826011478,2086688070092.4,8470.0,1176.702,107.678,0.03799999999999999,1.55,888.1413095238095,3.222873809523809,3.185232142857143,3.4019571428571433,3.028698809523809,2.928265476190476,2.666352380952381,1.3022261904761905,1.3728047619047619,1.1114892857142855,214.11919099504365,19.38279321956655,5.8005624617555585,2.680720211410127,5.327940772173987,0.04329661763877585,1.11764788041,0.2538290469701952,0.4075519416219052,1.8572217445675523,1.6048783279345606,0.10354769034746178,14.727979600440742,11032.125996915018,243919.27211848932,7.8295102017240295,0.3054622326017792,25.35376387241933,0.7674428991144657,734960473940.8624,358585069032.2228,7269488095333.201,0.7796184771010902,3.73453209469847,2.702506995150721,8.539584657893212,9.412730072227925,8.133490488427245
기타제조업,0.06264875364974465,-0.001279593906408527,0.6494927930297933,0.7132312128501213,-21.204684855526303,121894007670.5,99486088951.0,16020712957.5,107032748.0,0.06264875364974465,0.0006264875364974457,385367905527.0,0.674144489739775,107032748.0,7144253243.0,171333730.0,24639204021.5,99582054223.0,251803291255.0,133564614272.0,97097388079.0,92735241773.5,0.7132312128501213,-20.096420151032753,143.5182085007321,2.8747628465106736,200351615105.5,-108859190294.0,2.279953539815827,49139110831.0,0.2984381645110713,4362146305.5,96925791408.5,79.8708874659385,0.2188243492217493,91183796947.5,8940.0,1218.405,114.19,0.375,2.125,9.0,2.2,2.4,3.4,2.0,2.3,2.0,0.11,0.22,0.22,263.3832750147362,18.3570638345235,5.21028465776321,1.9679730541009461,1.843969175166135,0.0179095459093892,0.5417890411587798,0.14532308165465108,0.3505072069702066,-0.001279593906408527,1.8747628465106736,0.22746970826621724,19.48636749006334,33.15097169495508,1834.436324048659,47.46281888527598,0.6847111862082096,3.704521809927259,-21.66993094431267,6387205762.0,2411763636.5,275894077767.0,0.3221053999425245,-2.4870644347777926,0.4620830940837406,4.570976731182565,2.349213154406911,6.201170974369978
"농업, 임업 및 어업",6.375798213167496,3.858204174666214,0.523605448642205,0.30513907577607186,0.3952819357750967,678165266569.4,603081532064.8,35311177166.2,41614659586.6,6.375798213167496,0.06375798213167497,1136255258629.2,3.0369375993589522,41614659586.6,13174800398.4,10067010042.6,31456129223.6,45804019575.8,594854408850.2,541400849779.0,163736943919.8,116451041452.4,0.30513907577607186,0.8059924877330514,7.119166428992651,2.1190616314405064,391497651059.0,-62125599004.6,1.1874127653783582,209271319624.6,0.5394533677874331,47285902467.4,156254990131.0,48.01976654421508,0.13156100423072625,210700000000.0,8470.0,1176.702,107.678,0.03799999999999999,1.55,130.0,1.64,1.78,1.7,1.58,2.31,1.54,0.48,0.5,0.44000000000000006,214.11919099504365,11.147761705132504,5.926676111827453,5.349639964290311,5.950097691120996,0.03477183111291796,0.8435385745693532,0.17947707095886173,0.47639455135779496,3.858204174666214,1.1190616314405062,0.1013492052478738,5.5315384932868445,6973.673217840001,108280.16995580001,2.6167320087053674,0.390342835818378,-159.7837881643635,1.7422586707019883,39772557338.4,34868366089.2,446888616683.2,0.5960393073036659,-11.797105092815624,1.5139456267348006,7.674089987019377,5.19192080361281,3.8061197105520774
비금속광물,10.489184220857755,8.651071798603358,0.41703944669371024,0.23417188851835138,1.6779194136968347,1338412753714.5833,1048550198207.8334,150395030813.4,133837951180.5,10.489184220857755,0.10489184220857757,2737983809837.85,4.765334428730902,133837951180.5,27751812574.533333,12566496547.2,177185790530.28333,261818905318.9833,1199235524387.0334,1538748285450.817,371876346465.85,217433312674.38336,0.23417188851835138,2.97958437840863,11.555678958446771,1.7550286756531466,555498607869.15,243482009646.0,0.710436604111444,656663461402.4667,1.3547938114463915,154443033791.46667,77752614031.36667,87.68917979075971,0.24024432819386227,1290001016958.433,8470.0,1176.702,107.678,0.03799999999999999,1.55,188.09933333333333,2.96,3.0773333333333333,2.9619999999999997,2.476,2.702,2.344,1.7186666666666668,1.7420000000000002,1.6213333333333335,214.11919099504365,21.619230073774865,10.187258319634651,10.530617996346242,8.330232824615331,0.05003294587303179,1.6449661058522989,0.2173226240079761,0.5829605533062897,8.651071798603358,0.7550286756531467,0.06869118608516729,9.50975084517394,10324.588751279249,101218.77646505146,10.029344031021282,0.7707911015595312,-56.483550601374404,9.604941111169312,139467524693.35,131439358782.71667,1730167608830.95,0.49819538836933336,3.2692795538930275,0.8438931548070068,4.5763402166212614,8.044944297911616,8.47286342921991
서비스업,7.913823800265289,11.485909440416595,0.5339112135131489,2.0993511673810525,8.292210228146761,2037044600241.0793,1266296908023.143,247747795220.54852,192335776297.8036,7.913823800265289,0.07913823800265292,3816443019138.714,3.7976295636851085,192335776297.8036,33349787765.594215,67398149810.63971,37835080723.45992,201589288060.14462,2258822337344.029,1548983297287.9788,752885178575.0023,484772131769.48584,2.0993511673810525,9.899906729629015,32.10569999772934,7.318680527616389,1587182049153.3235,434555904837.4408,1.1734569460658169,1943677718471.724,1.6572702164469493,268113046805.51654,429370693487.14624,55.05380334685417,0.15083233793658676,3215741331841.122,8470.0,1176.702,107.678,0.03799999999999999,1.55,1075.5050549450548,3.097410256410256,3.018686446886447,3.3330007326007327,2.9771531135531135,2.7185465201465204,2.4518908424908425,1.5444520146520149,1.5505846153846155,1.5186703296703297,214.11919099504365,41.552181007331995,69.2116769658682,5.694090658622821,15.417415931618228,0.4393930532200427,1.7743308572675012,0.21689457699550715,0.4602845452051695,11.485909440416595,4.432650415207725,0.07970927421340068,11.142296331080413,3844.862901647293,44668.496001296175,23.081117577724267,2.809308410723097,8.095816685831519,23.474703886350234,1119933378457.9067,135801437957.64302,1013566348323.9066,0.6952802647342058,2.992014869341934,3.369546641089181,20.934813808353077,906.3495518427404,44.75989231466626
섬유의복,2.6891060687990764,5.128536886998934,0.4676501673099828,0.5073400269026982,12.681568539680356,1151880618182.9,736729100415.6,352835045703.4,58605745886.65,2.6891060687990764,0.026891060687990763,1074182761602.1,1.5634989677507065,58605745886.65,7471803871.9,16139786088.9,70375820198.2,99707431821.85,477528549420.65,596654212181.45,279495705499.3,154324815315.8,0.5073400269026982,16.908872309102453,23.75408562327096,1.958933979945699,354291479132.8,264774615298.15,0.5988947455647529,385082654881.7,1.0108124374523975,125170890183.5,213672489700.3,38.32707669376911,0.10500568957197014,406672143835.25,8470.0,1176.702,107.678,0.03799999999999999,1.55,1160.0,2.7619999999999996,2.782,2.804,2.5469999999999997,2.745,2.238,1.004,1.012,0.8579999999999999,214.11919099504365,28.891685708745683,3.371574029765303,1.4517504535090724,3.0486927416937686,0.04042503308411209,1.801927663191223,0.11412388312588859,0.5323498326900171,5.128536886998934,0.9589339799456991,0.1549998902833774,19.024872042841295,1024.1866852593016,22341.728421555672,25.827414518082655,1.0032460939142556,12.063194294541958,52.636485021252234,62148235787.8,36271070588.0,299245676860.4,1.2306504464116426,6.474379985780215,5.249500585340657,10.489563976795953,3.3908257325735556,15.273931967806883
운수장비,-1.9057319879723433,1.1432937696406755,0.6297789906389203,0.66253105174051,15.954310156168077,13995111015147.88,11797704348741.002,1364790419551.4597,627089797257.5225,-1.9057319879723433,-0.01905731987972343,20558488258932.59,-1.0949327740348094,627089797257.5225,161142453800.10776,142435395862.27094,815311105114.9011,1407248553592.5,11896159822133.014,8662328436799.575,2113893925636.33,553043496430.9226,0.66253105174051,23.942703237939682,26.254174716390374,3.1648670318984404,6180944463768.068,2396584870180.454,0.9624187579696857,7003690806110.579,0.9219770350748131,1560850429205.4077,1071476945028.1494,60.702081265034714,0.16630707195899921,5010033926562.023,8470.0,1176.702,107.678,0.03799999999999999,1.55,823.6127934565435,2.829642857142857,2.8309256993006993,2.9078912337662337,2.572578921078921,2.745482267732268,2.186356018981019,1.4106066433566433,1.4318764985014985,1.3098612637362639,214.11919099504365,10.111060868944374,0.03597675764323838,-2.1948364352919767,-5.570200719583131,0.0062382922684423745,1.1988274870724729,0.17275240139735765,0.37022100936107977,1.1432937696406755,2.16486703189844,0.09186661314197445,9.770893105068481,2490.187406951552,63569.416929890445,13.163300480872318,0.9765922973179325,0.8418819199054083,37.47176439805747,559361795878.1405,466652846299.3251,4794716054349.318,0.9786220744325954,-0.11837667397767149,2.647001238051966,8.907846469818622,10.074825140758191,6.20048606363873
운수창고업,-1.7467760323298358,1.9552857896707845,0.6995031904747419,0.36160150259139007,0.8867165770948138,8420280655293.531,7503489362192.263,467184921835.31287,215217060858.11142,-1.7467760323298358,-0.017467760323298352,10769386973811.838,0.3244404814285232,215217060858.11142,216986066858.49713,61781847120.88572,975344694508.7142,1490696763949.6187,7749105825880.211,3020281147931.6274,1070236056861.013,463913129203.65,0.36160150259139007,1.0679331235278835,-16.32886496018871,4.970858843923849,3312113701406.7603,-525386623244.5929,1.5328133403656237,2443356387124.4673,0.7487991250749514,606322927657.3629,563990030063.52,45.100127445876964,0.12356199300240264,3188952161041.534,8470.0,1176.702,107.678,0.03799999999999999,1.55,1362.3185714285714,2.9124,2.8538714285714284,2.9554142857142858,2.5822857142857143,2.8331142857142857,2.150557142857143,1.5168428571428572,1.5105428571428572,1.4363571428571429,214.11919099504365,10.330183302288068,2.6265343055852917,-3.6933090154225803,-4.623932741289432,0.03112702729788045,0.8316986556337034,0.39292143308211774,0.3004968095252582,1.9552857896707845,3.970858843923849,0.05954531166440687,1.1181204598442038,4058.7137727866952,72951.85808297034,1.1278261718688247,1.6807556794259344,-5.81063628411978,6.109671063132589,449606371265.95715,154299035919.86002,6546819240627.389,0.791073394546915,-13.488677687784735,1.6702560884347624,10.289469554634207,120.84219947575748,14.056826937468085
유통업,0.33335385116982785,1.59378156566259,0.604668702945834,0.48730137710891847,1.1662373364183645,9871818967387.428,7843928549384.697,1480126581813.4038,288331457959.8932,0.263553340078983,0.0033335385116982793,10581652952308.459,0.6166567420610573,288359771874.42206,223682444084.68375,83530086639.07959,407836059889.647,674813211665.5038,5873394944456.705,4708258007851.755,1589885771066.151,1015086725603.4294,0.48730137710891847,5.22725817331739,-0.05155526963663206,2.7432482352447156,3145537484069.5117,-182464611437.2127,1.0593613657404624,2259481561504.7295,0.7937575775635703,574799045462.7214,783323793512.5925,38.428406331032335,0.10528330501652694,2801647364543.1,8470.0,1176.702,107.678,0.03799999999999999,1.55,1192.1377136752137,3.148088034188034,3.156549786324786,3.3179987179487176,2.8878209401709403,2.8488061965811964,2.510346794871795,1.5564361111111111,1.5680634615384617,1.3857615384615385,214.11919099504365,25.94101616045956,2.229565880143041,-0.8488805442492167,0.6159068807503953,0.027546000127453722,1.1432859674483047,0.2496446892208291,0.3953312970541659,1.5911424669086551,1.7432482352447156,0.11099741708568027,1.059690535609271,5967.095537961187,136641.98160570595,2.775977008147455,0.8979438049235796,2.860251128496938,13.585371303847193,267300503007.0582,209468708460.78824,3751650450991.539,1.2291941201494652,9.984194243926673,6.763734910160966,12.431152355305773,11.17872021488338,10.651868742189293
