sector,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,market_capitalization,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,kr_standard_yield,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,return_on_invested_capital,current_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,operating_income,net_income,tangible_assets,total_asset_turnover,net_working_capital_turnover,tangible_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover,intangible_assets,cash_and_equivalents,cost_of_sales,cash_flow_operating,cash_flow_investing,cash_flow_financing,operating_cf_to_total_borrowings,cash_and_cash_equivalents_to_short_term_borrowings_ratio,short_term_borrowings_to_total_borrowings_ratio
건설업,6.572354528385018,9829.200009439654,211.63327097857328,-7.173877373508172,-170.00246999940933,8535214521017.857,7537471526643.776,429542190808.8595,478193676949.2238,6.506874884673847,6.572354528385018,10135888229473.348,3.945703363093949,479022871573.7048,108082637450.49762,154092870153.40286,393514436797.6443,702034125707.0143,6254137486779.099,3881750742694.2485,331952382609.9414,-1062808493923.068,5.6779116001900825,139.35277765786387,2355.7950318005037,311.63327097857325,4378908133000.565,2321267239193.1216,69.10554527283023,5663901321575.1,122.5545107584082,1394760876533.0095,175518641685.54288,60.95758077649909,2146709954978.4524,8470,1176.702,107.678,0.03799999999999999,1.55,1244.009523809524,3.092619047619048,3.0569523809523806,2.9663428571428576,2.8182952380952377,3.027433333333333,2.2462809523809524,2.056052380952381,2.023985714285714,1.953,214.11919099504365,13.274160080524968,7.52688179013551,5.362959880865022,13.098970003453733,14.309949047604158,151.44619488063557,69.06665388772788,35.653809660797535,9885.177513140796,14.987600595145645,173.68853385154625,810.6068043456305,5263.720584437961,51771.71069753678,6.426770458362502,0.5555199995076758,-7.0339990824249154,2.5643500637350103,534672067360.30566,343660914868.36383,738832557012.0404,78.31468049030333,921.2079685641099,1479.035493942392,711.7949232638265,732.5465496424092,825.5784368619036,72362220578.8305,405895160664.5763,2443400559831.585,104650381179.41525,-60526676452.805084,-15042668768.11017,47.92594103375929,655.7799924438085,52.20526019031762
기계,3.313333935838274,200.90373107056513,196.61540273370912,9.162436316949355,80.51891141048912,4624949851965.738,3868864344679.014,482823964704.7523,111839859002.3,3.313333935838274,3.313333935838274,7369840304766.143,2.5914458772543973,111839859002.3,221337956580,62241057035.461914,327123721796.9143,647675986564.9048,4912429065541.671,2457411239195.9,1525686351581.2905,833764421357.9857,18.698897460275724,463.3272767389506,7587.636817573596,296.6154027354228,3167622274577.1904,39038086974.21905,90.37888084027745,2380899548533.8384,86.79700896741454,691921930223.3048,853400508777.6477,61.67870437369231,2523817634465.419,8470,1176.702,107.678,0.03799999999999999,1.55,927.4620952380952,3.1257142857142854,3.1259523809523815,3.497904761904762,3.052238095238095,2.8555238095238096,2.2882857142857143,1.7016190476190478,1.6685238095238095,1.549238095238095,214.11919099504365,16.333845459415624,5.360039733229891,2.948765541190033,7.148021265014667,4.838966794143026,120.88073000947134,63.05504395392046,35.20012968794245,245.90302811145474,59.19879743658288,169.0338687887201,1747.032159326712,1441.3773348552618,28499.683014826045,69.8161050386332,1.4636598082815244,13.433829005572065,20.569767047418786,273261542581.97144,87288225591.86667,1782008647114.067,77.73572805629193,2919.620281625776,293.7595149959473,741.9374847763148,855.5490262662721,752.8757654986791,360651056519.0476,168175449637.8869,977848258725.3334,71642566524.875,-76781249642.52975,14985480486.940475,-138.21069860330024,326.8830962135645,69.51242311637456
기타금융,4.678707698011017,221.48090174458085,158.48958714972227,9.133593762564566,220.608970639607,14907592912042.604,12511697637923.826,1615345534263.4436,607709701365.9995,4.020620807387864,4.678707698011017,19984521657463.805,2.175249511762112,629088042067.4895,600941053797.4257,269637165435.52667,882255620985.0189,1925410796698.8372,12096689883303.521,7887831774160.281,3362889901599.515,2095290391160.9524,15.493239944593105,399.8905172476708,3761.8765374091918,258.4895871497223,6353453109928.539,315967963998.23065,103.05925505059665,5019888946310.202,82.71789201503347,1267599510438.563,1203949179695.9714,48.28238936371832,2256809727209.094,8470,1176.702,107.678,0.03799999999999999,1.55,914.5200787545788,3.217991758241758,3.1779212454212455,3.392575091575092,3.02504304029304,2.9279949633699633,2.6625100732600733,1.2980691391941392,1.3671483516483516,1.1069418498168497,214.11919099504365,19.24795153890782,5.812755421715722,2.78575924125185,5.341819927478629,4.303646858612439,111.513796941394,64.76249491431587,41.25908307890257,263.96573239084034,42.994407961987406,141.66470591683077,1458.6351814821587,11687.08675415953,250993.0552687232,7.755143760050646,0.3057899351007623,24.12278878119717,6.498201330778796,774193772865.5162,414441018695.6981,6058227312550.463,77.19604873359265,344.29968785127545,322.82904815104547,851.8308501843364,934.564654834268,806.3830384203711,594165305398.7068,680005211742.0844,5285527989556.458,387528420132.3775,-443427952127.8193,170431484016.0562,1071.4789507471082,666.9715145113331,61.041685494154024
기타제조업,5.460906660770666,92.68726350285726,187.47628465106737,34.44984130927429,2179.4925930635163,121894007670.5,99486088951,16020712957.5,107032748,0.06264875364974465,5.460906660770666,385367905527,0.674144489739775,6672511892,7144253243,171333730,24639204021.5,99582054223,251803291255,133564614272,138023162029,133661015723.5,35.70367871232243,2237.814240878001,14351.820850073209,287.4762846510673,200351615105.5,-108859190294,227.9953539815827,49139110831,29.84381645110713,4362146305.5,96925791408.5,79.8708874659385,91183796947.5,8940,1218.405,114.19,0.375,2.125,9,2.2,2.4,3.4,2,2.3,2,0.11,0.22,0.22,263.3832750147362,18.3570638345235,5.21028465776321,1.9679730541009461,1.843969175166135,0.08730822388039083,54.17890411587798,39.478130022986015,35.05072069702066,87.61591510969538,102.85813814662862,184.1090665823708,1948.636749006334,33.15097169495508,1834.436324048659,47.46281888527598,0.6847111862082096,3.704521809927259,36.026249728582535,6387205762,2411763636.5,264744631090.5,32.21053999425245,-248.7064434777793,48.339383647659076,457.09767311825647,234.9213154406911,620.1170974369978,23870857375.75,129101083549.65,548286084334.9167,108432250819.51666,-42542344596.15,-49968766954.11667,13689.589216775752,20447.439864394695,77.29898663853048
"농업, 임업 및 어업",9.577026689907107,556.250379176078,111.90616314405062,16.64478951045239,812.154828671956,678165266569.4,603081532064.8,35311177166.2,41614659586.6,6.375798213167496,9.577026689907107,1136255258629.2,3.0369375993589522,63054926401.2,13174800398.4,10067010042.6,31456129223.6,45804019575.8,594854408850.2,541400849779,237139270278,189853367810.6,20.852995399425247,983.4237608609492,711.9166428992653,211.9061631440506,391497651059,-62125599004.6,118.7412765378358,209271319624.6,53.94533677874331,47285902467.4,156254990131,48.01976654421508,210700000000,8470,1176.702,107.678,0.03799999999999999,1.55,130,1.64,1.78,1.7,1.58,2.31,1.54,0.48,0.5,0.44000000000000006,214.11919099504365,11.147761705132504,5.926676111827453,5.349639964290311,5.950097691120996,4.375165299281399,84.35385745693532,39.17495058798565,47.6394551357795,340.7172082035425,45.1958762626579,102.9032218607814,553.1538493286845,6973.673217840001,108280.16995580001,2.6167320087053674,0.390342835818378,-159.7837881643635,14.883667442228708,39772557338.4,34868366089.2,440559816810.4,59.6039307303666,-1179.7105092815625,153.57021962748368,767.4089987019378,519.1920803612809,380.6119710552078,15146011094.266666,39531501874.13333,354124959159.26666,12960178987.333334,-6742971013.133333,-5790602715.933333,5.095133914065275,311.43301159902234,76.45776124618816
비금속광물,10.489184220857755,865.1071798603356,75.50286756531466,7.277406135533184,174.2798092355845,1338412753714.5833,1048550198207.8334,150395030813.4,133837951180.5,10.489184220857755,10.489184220857755,2737983809837.85,4.765334428730902,133837951180.5,27751812574.533333,12566496547.2,177185790530.28333,261818905318.9833,1199235524387.0334,1538748285450.817,385748515103.05,231305481311.58334,13.28746234964756,304.44630570676406,1155.5678958446772,175.5028675653147,555498607869.15,243482009646,71.0436604111444,656663461402.4667,135.47938114463915,154443033791.46667,77752614031.36667,87.68917979075971,1290001016958.433,8470,1176.702,107.678,0.03799999999999999,1.55,188.09933333333333,2.96,3.0773333333333333,2.9619999999999997,2.476,2.702,2.344,1.7186666666666668,1.7420000000000002,1.6213333333333335,214.11919099504365,21.619230073774865,10.187258319634651,10.530617996346242,8.330232824615331,6.913383989311248,164.49661058522986,39.823340179732256,58.296055330628974,756.5539147180623,24.063911489531364,65.28161545152201,950.9750845173942,10324.588751279249,101218.77646505146,10.029344031021282,0.7707911015595312,-56.483550601374404,9.669819789828322,139467524693.35,131439358782.71667,1392394580456.4165,49.81953883693334,326.9279553893028,104.09737340570223,457.6340216621262,804.4944297911616,847.2863429219911,114080132841.90805,76466933967.4253,537482009578.7012,60765468095.655174,-43112254937.37931,-11577415703.83908,1470.4896196449113,3031.6155679729145,56.33116378873395
서비스업,7.319137408079982,522.7344595020259,187.43250768853272,6.030837065631603,532.1634387439515,2023639379435.5808,1298835372673.935,253060972657.81525,184251859631.01617,7.024801495812906,7.319137408079982,3336264034310.968,3.6648256392790204,190496431364.65366,32197261451.69524,66053583086.56047,94669409680.46317,251885677144.78998,1811951673607.5645,1524312360703.403,482326533025.1206,210874964171.06827,13.807275570417406,699.3311845161659,2877.9574065148236,287.4325076885328,1222308451849.02,421537492786.613,120.42421518455072,1553529504801.9937,153.89697428230403,271451568854.0524,286199670724.58716,58.828745561708295,3282875453233.5303,8470,1176.702,107.678,0.03799999999999999,1.55,1078.0085317460318,3.0760984126984128,2.9820126984126984,3.319609523809524,2.9569444444444444,2.7097015873015873,2.445463492063492,1.5031444444444444,1.5113333333333334,1.4904539682539684,214.11919099504365,38.20993981033519,67.43261910137963,5.061174752974115,7.448626136430488,6.40611387549953,167.37120146138346,79.5793640635153,45.95181483364151,4061.192239307392,54.37301166874581,168.9820967073541,1139.7951421030652,3531.7189421158355,42515.22033741033,23.39446287431703,1.6318436964768508,8.26098955765087,20.896303394268617,1079259202917.0094,130182109582.06001,675818878297.9694,72.17257770445458,240.81973868577023,1086.6692761976824,1525.62222034649,33459.31608165217,2732.2877486852003,222950892954.74054,265243119087.25363,728581423349.7172,86268045998.57726,-174921394942.5656,126043300700.5656,6359.974621313085,5407.748346221251,65.03388315969792
섬유의복,4.337567635963184,796.147565563736,95.89339799456991,9.962684906229153,-1463.034966029039,1151880618182.9,736729100415.6,352835045703.4,58605745886.65,2.6891060687990764,4.337567635963184,1074182761602.1,1.5634989677507065,81847177757,7471803871.9,16139786088.9,70375820198.2,99707431821.85,477528549420.65,596654212181.45,139054313905.45,13883423721.95,18.985879536507305,-1716.441042169146,2375.4085623270958,195.8933979945699,354291479132.8,264774615298.15,59.889474556475285,385082654881.7,101.08124374523973,125170890183.5,125753214669.25,38.32707669376911,406672143835.25,8470,1176.702,107.678,0.03799999999999999,1.55,1160,2.7619999999999996,2.782,2.804,2.5469999999999997,2.745,2.238,1.004,1.012,0.8579999999999999,214.11919099504365,28.891685708745683,3.371574029765303,1.4517504535090724,3.0486927416937686,3.7601618230142186,180.1927663191223,22.41821736947867,53.23498326900172,603.243336180208,42.378635773746154,79.60086788600415,1902.4872042841296,1024.1866852593016,22341.728421555672,25.827414518082655,1.0032460939142556,12.063194294541958,-33.00348049869678,62148235787.8,36271070588,231907813872.15,123.06504464116423,647.4379985780215,574.8240019861292,1048.9563976795953,339.0825732573556,1527.3931967806882,27871895799.129032,46408210035.645164,432666336053.129,38642174979.77419,-25018400458.04301,-6276060282.021505,209.33755754880414,458.1060138238388,83.78146437895526
운수장비,-1.6607266364316717,132.04805509396527,222.4805784806374,9.001156065528383,340.415440339959,14595976243098.615,12300859691688.746,1425251539409.8118,654035267364.4227,-1.7964251874430979,-1.6607266364316717,21475586764437.22,-1.0653140911407326,654680134189.2484,166265663983.81528,147709662843.69443,843512027928.1989,1467068448091.1606,12426719200693.098,9048867563744.121,2124271004296.6602,496731822775.53925,17.670495375820863,723.8947106716148,2805.902395167541,322.4805784806374,6448970075303.129,2509367157465.691,97.13944304369859,7317959685022.885,91.65283057147106,1627539181521.121,1053557453554.015,59.96209144175108,5240455315362.955,8470,1176.702,107.678,0.03799999999999999,1.55,844.982331002331,2.8336923076923073,2.8504494172494175,2.9199962703962705,2.569209324009324,2.749294172494172,2.1824960372960374,1.4311822843822843,1.4509659673659674,1.3312820512820513,214.11919099504365,10.283634999006484,0.04926480811256306,-2.0946712951329793,-5.755873558099917,-4.147568860433918,118.87873628023006,56.9450732101407,36.09371287562935,147.67383032743015,65.72234430318967,197.54537767339528,994.8290116420427,2592.630027374821,66108.81762560864,14.598130053988896,0.9792855601969137,-0.4341132685803183,19.37375375058649,583139352770.5901,486967548450.46204,4297355208171.286,98.44359543365184,104.12571820238695,304.88119090725826,909.4362041206243,1029.8005245381287,609.8308200773636,267050109603.71667,685769232980.3875,5241771634320.816,358226866834.5292,-242527404304.77917,64799830194.7375,1122.4151787397336,4496.764070426119,71.12786160226698
운수창고업,4.034619176501295,310.28143906385395,354.75730836183095,9.597815055773824,221.6881808277216,9017455788850.66,8051988522916.82,488095336987.6133,240253798415.07333,0.8407570286906723,4.034619176501295,11327840362118.98,1.6605826630989313,579141743286.9199,227954034841.02002,58375361038.45333,1031868682940.3467,1582601054340.4868,8013797426733.159,3314042935385.82,1617449839559.4734,969258238583.2666,15.34046867447644,274.9691736295832,-1613.2818567578897,454.757308361831,3391259433375.3,-467824321840.94666,137.5157391107097,2559280996149.6,81.99913080072255,648191600976.2067,682878864144.12,43.71093263850161,3403504888037.2197,8470,1176.702,107.678,0.038,1.55,1421.1733333333334,2.9626666666666663,2.8954,2.9638666666666666,2.6280666666666668,2.8739333333333335,2.174866666666667,1.564,1.5534666666666666,1.4811999999999999,214.11919099504365,10.005256556505191,3.9804585880203427,0.5477900205129659,-3.5358508916474207,-2.6127918254111204,91.03140002525197,212.95107835976827,33.43564935137281,332.6806793470068,56.12966021426138,333.64328329958266,-3.2099565345883776,4420.366706428485,76576.95122163136,5.68065916698452,1.5641172870660667,3.6379910228903745,7.3760951252496,477371928946.2267,187110096900.33334,6518971094286.9,85.50437312268193,-1336.4623430239367,204.72573063557542,1098.1438922308407,12929.07466075575,1470.2042240798096,125722707646.03636,291054021275.9545,2793647812312.918,492855844915.5273,-314780747058.2091,-112205372139,372.3344796330345,143.01644152454708,47.86441802916932
