corp,stock_code,sector,year,gross_profit_margin,operating_profit_margin,net_profit_margin,ebitda_margin,return_on_equity,return_on_assets,return_on_invested_capital,debt_ratio,current_ratio,quick_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,market_capitalization,revenue,operating_income,net_income,total_assets,tangible_assets,total_liabilities,total_equity,total_asset_turnover,net_working_capital_turnover,tangible_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover
AJ네트웍스,095570,서비스업,2018,-2.0311354863805344,100.0,3.56460174988502,-4.725704166965969,7.5779256342337,1.447255303925629,-5.8724695957089645,423.6066928674466,39.84823183297826,32.21883859652282,96.4322139509059,19.098304388044834,2612.6194900207415,104.08402223591698,412.72645792572337,421.7321029288041,795.9635989222655,10503.713513978757,5.659806561631422,0.4288959322819085,-2.524985987063493,-13.546626222610167,210934438975.0,1045526121935.0,1045526121935.0,37268842438.0,2575139461359.0,245055468592.0,2083331488612.0,491807972747.0,40.60075726474386,-257.7113374652008,426.64876158129204,1292.9633057669014,2073.120960744204,2715.0479085518514
AJ네트웍스,095570,서비스업,2019,1.5645264277445299,100.0,4.211766896736583,10.702040890691093,12.128880691607344,2.3362524478455096,11.719851977405732,419.15967826133647,60.14594933806448,52.78100645953771,189.74917819932827,19.261896519949232,1767.9803973502696,187.09975904668755,383.7517774787554,471.8215730363059,899.7550068402243,7418.285575707043,5.523725861169403,0.6699661194326972,-6.138493297266614,7.095824789956878,232706806150.0,1000259401598.0,1000259401598.0,42128594358.0,1803255225986.0,272817241977.0,1455914070366.0,347341155620.0,55.469652170344844,-315.2773949863797,366.6408304510048,953.1222597266321,1679.374498781017,3024.2796449176367
AJ네트웍스,095570,서비스업,2020,2.418601236546971,100.0,-0.38038751584718045,-2.122140151027129,-1.1516396450427029,-0.2088448586135612,-12.798569983815412,451.433084198474,37.59381023409431,32.50205427340687,205.29481577231797,18.134566616610115,1949.7903265042846,163.77671040635903,427.19529065624056,-5445.74601889374,-70.83830730638043,6151.082728986266,-65.1483664063261,0.7502744156329334,12.190308714900173,-33.39621254149929,216084891425.0,871956093147.0,871956093147.0,-3316812122.0,1588170350000.0,229558956116.0,1300162539894.0,288007810106.0,54.903184230016635,-211.32948121502383,379.8397186936091,1026.225676327236,2527.4770042664936,2177.684361749785
AJ네트웍스,095570,서비스업,2021,4.8955478943798285,100.0,7.81478855222226,2.2700026244668665,21.168275198460528,5.663071279879297,3.2953334148761435,273.7949630560135,52.156324628560014,48.39840530433834,128.92264210861666,26.75263443424595,2799.1845729654237,92.84821223166598,250.28333604020028,323.0834753282839,1638.9015761615274,7742.253730151416,3.3009913949016787,0.6987629427502883,-22.38089745611042,22.640437558376153,253308615950.0,981947656833.0,981947656833.0,76737133075.0,1355044449955.0,177684993354.0,992534361837.0,362510088118.0,72.46608455284324,-390.8033595566752,552.6339834882261,1053.009627117886,4731.907202155204,2168.887168566334
AJ네트웍스,095570,서비스업,2022,6.243744695485084,100.0,0.7257340021461588,2.287603915507065,2.4232874985271993,0.5919579990769644,2.051867955942465,309.36814812973427,37.01898321124171,33.946068549480685,77.81810928228889,24.42788977522224,2659.695628854517,105.85210503795412,272.930857005906,2791.8702276756458,187.29398847279913,7728.921499683003,30.540222068209737,0.7400773834013713,14.615668398403775,18.776262348778406,267823527400.0,1208367577386.0,1208367577386.0,8769534380.0,1481445371745.0,166985381711.0,1119559529255.0,361885842490.0,81.56679958861119,-235.59733473294102,723.6367429319713,1272.4734147285405,4527.201180853871,2048.2990865481247
AK홀딩스,006840,기타금융,2018,28.174701447253142,7.26770651264998,5.56750753628507,7.269978357898937,14.01863963401877,6.080770456255083,11.782729356954556,130.54051677938722,98.17208345288688,81.11537832980544,40.23367636957349,43.37632334523381,555.3235624126744,50.234300086474946,95.84252277314346,237.30399630955108,15596.863372133179,111258.03772203805,3.4622345988156487,0.4853581916922812,2.254848557314579,3.5001846297526504,715368294000.0,3711183102751.0,269717896055.0,206620398931.0,3397931239428.0,1396079427555.0,1924033597965.0,1473897641463.0,109.21889941998155,-15253.44871452246,265.82893705772295,1380.4192731077007,1174.1043820282368,812.7604530367183
AK홀딩스,006840,기타금융,2019,24.658903089943394,3.493427914231526,1.5625935634772203,2.188432858470809,4.058074650826964,1.3573669917416002,0.42813284156025105,198.96665201944833,84.81649927073084,68.60966553311644,90.82649529676584,33.44854662703144,161.74576517822916,114.15705341540772,179.28736567656375,875.2636126548547,4434.504003038748,109276.05785012049,7.802450956474572,0.3166292844079006,1.6717092129766593,22.194634297854797,458365610600.0,3759542062510.0,131336891859.0,58746362285.0,4327964555085.0,1430032925300.0,2880323312876.0,1447641242209.0,86.86628586393688,-1581.667138257216,262.89898616993753,1346.4302330329876,1116.4024175880768,859.5181919436635
AK홀딩스,006840,기타금융,2020,17.669437512136028,-8.456364266228588,-10.088283570039948,-13.132164819832651,-20.93281638817854,-6.365724943785217,-18.910179124450917,228.83633165166844,73.54206146963482,58.839192721896325,101.1957245554963,30.410265039061603,-171.748485385242,88.32434152769676,196.74019630424112,-132.0340113719696,-19951.652326567888,95312.7947839606,-1.260547226282102,0.26386803636390993,-1.7378587969443515,-3.0318816961440005,333176159150.0,2619977218245.0,-221554817267.0,-264310731247.0,4152091609064.0,1476614197949.0,2889429546083.0,1262662062981.0,63.10017853473175,-614.4202469221176,177.43139825447417,1077.2481131487325,910.2915763596129,781.7324961324498
AK홀딩스,006840,기타금융,2021,15.987336484280151,-5.2313969849276525,-6.292454419107813,-7.817796486437975,-16.577911569419353,-4.38200915499081,-13.83910705354901,278.31759321037106,72.18733021972503,52.15287509047626,122.46213307026903,26.432817768639428,-191.35737495789874,108.94517180444412,235.46570092653917,-116.77139419472398,-15046.245625289062,90760.80278437669,-1.2827120120624254,0.21264686305002856,-26.17977697979236,-4.2413919883868685,255677927300.0,3167699652090.0,-165714944091.0,-199326056742.0,4548736656905.0,1634149313500.0,3346377385610.0,1202359271295.0,69.63910841665057,-607.7780889353552,193.843954522458,1102.4413059839162,708.8509680779456,753.8375516115343
AK홀딩스,006840,기타금융,2022,18.761579109004277,-0.5761009741501092,-3.1428135869848486,-3.1727680406309697,-9.283706817483694,-2.378907845326126,-7.210642070008063,290.2507966302069,66.7105233731966,51.59636681690654,105.69179459341969,25.624547307396746,-19.47998402964949,108.25165104066066,251.2988085541254,-152.40886050888625,-8986.447920715367,96798.05811824532,-1.9139931763640368,0.17768951500028077,0.6217559008625314,-9.290102730558907,227858049200.0,3787959855335.0,-21822473627.0,-119048517003.0,5004334961394.0,1819267723373.0,3721996781791.0,1282338179603.0,75.69357136477196,-480.7957215629026,208.21343701475453,1139.587487313915,860.2904824260465,972.5042850174832
