corp_name,year,bond_type,rank,stock_code
HSD엔진,2019,SB,BBB-,082740
JW홀딩스,2023,SB,BBB-,096760
KR모터스,2019,BW,B-,000040
KR모터스,2020,BW,B-,000040
KR모터스,2021,BW,B-,000040
KR모터스,2022,BW,B-,000040
LF,2019,SB,AA-,093050
LF,2020,SB,AA-,093050
LF,2021,SB,AA-,093050
LF,2022,SB,AA-,093050
LF,2023,SB,AA-,093050
가온전선,2019,SB,A,000500
가온전선,2020,SB,A,000500
가온전선,2021,SB,A,000500
가온전선,2022,SB,A,000500
가온전선,2023,SB,A,000500
광동제약,2019,SB,A,009290
광동제약,2020,SB,A,009290
광동제약,2022,SB,A,009290
광동제약,2023,SB,A,009290
국도화학,2019,SB,A+,007690
국도화학,2020,SB,A+,007690
국도화학,2021,SB,A+,007690
국도화학,2022,SB,A+,007690
국도화학,2023,SB,A+,007690
국동,2019,BW,BB,005320
국동,2020,BW,BB-,005320
국동,2021,BW,BB-,005320
국동,2022,BW,BB-,005320
국동,2023,BW,BB-,005320
금양,2020,SB,BB+,001570
금양,2021,SB,BB+,001570
금양,2022,SB,BB+,001570
금양,2023,SB,BB+,001570
금호석유화학,2019,SB,A,011780
금호석유화학,2020,SB,A,011780
금호석유화학,2021,SB,A+,011780
금호석유화학,2022,SB,A+,011780
금호석유화학,2023,SB,A+,011780
기아,2019,SB,AA,000270
기아,2020,SB,AA,000270
기아,2021,SB,AA,000270
기아,2022,SB,AA,000270
깨끗한나라,2020,SB,BBB,004540
깨끗한나라,2021,SB,BBB,004540
깨끗한나라,2022,SB,BBB,004540
깨끗한나라,2023,SB,BBB,004540
넥센타이어,2019,SB,A+,002350
넥센타이어,2020,SB,A+,002350
넥센타이어,2021,SB,A+,002350
넥센타이어,2022,SB,A,002350
넥센타이어,2023,SB,A,002350
넷마블,2020,SB,AA-,251270
넷마블,2021,SB,AA-,251270
넷마블,2022,SB,A+,251270
넷마블,2023,SB,A+,251270
노루페인트,2019,SB,A-,090350
노루페인트,2020,SB,A-,090350
노루페인트,2021,SB,A-,090350
녹십자,2019,SB,AA-,006280
녹십자,2020,SB,AA-,006280
녹십자,2021,SB,A+,006280
녹십자,2022,SB,A+,006280
녹십자,2023,SB,A+,006280
농심홀딩스,2019,SB,AA,072710
다우기술,2019,SB,A,023590
다우기술,2020,SB,A,023590
다우기술,2021,SB,A,023590
다우기술,2022,SB,A,023590
다우기술,2023,SB,A,023590
대상,2019,SB,AA-,001680
대상,2020,SB,AA-,001680
대상,2021,SB,AA-,001680
대상,2022,SB,AA-,001680
대상,2023,SB,AA-,001680
대상홀딩스,2021,SB,AA-,084690
대상홀딩스,2022,SB,AA-,084690
대상홀딩스,2023,SB,AA-,084690
대성산업,2020,SB,BB,128820
대성산업,2021,SB,BB,128820
대성산업,2022,SB,BB,128820
대성에너지,2021,SB,A+,117580
대성에너지,2022,SB,A+,117580
대성에너지,2023,SB,A+,117580
대성홀딩스,2019,SB,A+,016710
대성홀딩스,2020,SB,A+,016710
대성홀딩스,2021,SB,A+,016710
대성홀딩스,2022,SB,A+,016710
대성홀딩스,2023,SB,A+,016710
대우건설,2019,SB,A-,047040
