id,corp,stock_code,sector,main_product,listing_date,settlement_month,representative_name,homepage,region,rank,predicted_rank
1,AJ네트웍스,95570,"산업용 기계 및 장비 임대업","렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,손삼달,http://www.ajnet.co.kr,서울특별시,BBB,NULL
2,CJ,1040,"기타 금융업",지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,AA-,NULL
3,CJ대한통운,120,"도로 화물 운송업","Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,AA-,NULL
4,CJ제일제당,97950,"기타 식품 제조업","설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,AA,NULL
5,DL,210,"기초 화학물질 제조업",지주회사,1976-02-02,12월,김종현,http://www.dlholdings.co.kr,서울특별시,AA-,NULL
6,DL이앤씨,375500,"토목 건설업","토목 건설 사업",2021-01-25,12월,마창민,NULL,서울특별시,AA-,NULL
7,DN오토모티브,7340,"일차전지 및 축전지 제조업","자동차용 밧데리",1988-09-24,12월,"김상헌 김인환",http://www.dnautomotive.com,경상남도,A-,NULL
8,E1,17940,"기타 전문 도매업","LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시,A+,NULL
9,GS,78930,"기타 금융업","지주회사/부동산 임대",2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",NULL,서울특별시,AA,NULL
10,GS건설,6360,"건물 건설업","토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시,A+,NULL
11,GS리테일,7070,"종합 소매업","체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시,AA,NULL
12,HDC,12630,"기타 금융업","토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 정경구",http://www.i-park.com,서울특별시,A,NULL
13,HDC현대EP,89470,"기타 화학제품 제조업","합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,"정 중 규",http://www.hdc-hyundaiep.com/,충청남도,A-,NULL
14,HDC현대산업개발,294870,"건물 건설업","외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"최익훈, 정익희, 김회언 (각자 대표이사)",http://www.hdc-dvp.com,서울특별시,A,NULL
15,HD현대,267250,"기타 금융업",지주회사,2017-05-10,12월,"권오갑, 정기선",http://www.hdhyundai.co.kr,경기도,A,NULL
16,HD현대건설기계,267270,"일반 목적용 기계 제조업","굴삭기, 지게차, 휠로더 등",2017-05-10,12월,최철곤,http://www.hd-hyundaice.com,경기도,A-,NULL
17,HD현대인프라코어,42670,"특수 목적용 기계 제조업","굴착기,엔진 제조,도소매",2001-02-02,12월,"조영철, 오승현",http://www.hd-infracore.com,인천광역시,A-,NULL
18,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",2017-05-10,12월,"조 석",http://www.hyundai-elec.com,경기도,A-,NULL
19,HD현대중공업,329180,"선박 및 보트 건조업","선박, 해양플랜트 및 엔진기계 등",2021-09-17,12월,"한영석, 이상균 (각자 대표이사)",http://www.hhi.co.kr,울산광역시,A-,NULL
20,HL만도,204320,"자동차 신품 부품 제조업","제동장치, 조향장치, 현가장치",2014-10-06,12월,"조성현, 김현욱 (각자대표)",http://www.mando.com,경기도,AA-,NULL
21,HL홀딩스,60980,"기타 금융업","지주회사 및 경영컨설팅 서비스업",2010-05-19,12월,"김광헌, 김준범",http://hlholdings.co.kr,경기도,A,NULL
22,JW홀딩스,96760,"기타 금융업","의약품 수출입업",2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,경기도,BBB,NULL
23,LF,93050,"봉제의복 제조업","기성복, 의류, 잡화, 제조",2006-12-01,12월,"오규식, 김상균 (각자 대표이사)",http://www.lfcorp.com,서울특별시,AA-,NULL
24,LG디스플레이,34220,"전자부품 제조업","액정표시장치(TFT-LCD) 제조",2004-07-23,12월,정호영,http://www.lgdisplay.com,서울특별시,A,NULL
25,LG에너지솔루션,373220,"일차전지 및 축전지 제조업","2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,권영수,NULL,서울특별시,AA,NULL
26,LG유플러스,32640,"전기 통신업","개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,황현식,http://www.uplus.co.kr,서울특별시,AA,NULL
27,LG이노텍,11070,"전자부품 제조업","기타 전자부품 제조업",2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시,AA-,NULL
28,LG전자,66570,"통신 및 방송 장비 제조업","이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",2002-04-22,12월,"조주완, 배두용 (각자 대표이사)",http://www.lge.co.kr,서울특별시,AA,NULL
29,LG화학,51910,"기초 화학물질 제조업","유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,신학철,http://www.lgchem.com,서울특별시,AA+,NULL
30,LIG넥스원,79550,"무기 및 총포탄 제조업","정밀유도무기 등",2015-10-02,12월,김지찬,http://www.lignex1.com,경기도,AA-,NULL
31,LS,6260,"기타 금융업","전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,명노현,http://www.lsholdings.co.kr,서울특별시,A+,NULL
