fs_type,corp,stock_code,sector,label_en,label_ko,2018,2019,2020,2021,2022,YoY
bs,AJ네트웍스,095570,서비스업,total_assets,자산총계,2575139461359.0,1803255225986.0,1588170350000.0,1355044449955.0,1481445371745.0,9.3
bs,AK홀딩스,006840,기타금융,total_assets,자산총계,3397931239428.0,4327964555085.0,4152091609064.0,4548736656905.0,5004334961394.0,10.0
bs,BGF,027410,기타금융,total_assets,자산총계,1624874724266.0,1657381460248.0,1658204361732.0,1981622039251.0,1938013970903.0,-2.2
bs,BGF리테일,282330,유통업,total_assets,자산총계,1482568536572.0,2172410899706.0,2371169598247.0,2596378756682.0,2946235271626.0,13.5
bs,BYC,001460,섬유의복,total_assets,자산총계,738431267101.0,693882852856.0,679134863796.0,684434512150.0,668872026401.0,-2.3
bs,CJ,001040,기타금융,total_assets,자산총계,31729548648000.0,40381364593000.0,40024965069000.0,41955995804000.0,48240408307000.0,15.0
bs,CJ CGV,079160,서비스업,total_assets,자산총계,2234185992506.0,4524046865181.0,4354856895866.0,3785492375609.0,3601468386488.0,-4.9
bs,CJ대한통운,000120,운수창고업,total_assets,자산총계,7868566775246.0,9110016110171.0,9643498959607.0,8993928516384.0,9693299818264.0,7.8
bs,CJ제일제당,097950,음식료품,total_assets,자산총계,19497022884000.0,26280632351000.0,25611892185000.0,26855804277000.0,30013241845000.0,11.8
bs,CS홀딩스,000590,기타금융,total_assets,자산총계,304418192853.0,314291512839.0,323725567844.0,353716995747.0,364121570785.0,2.9
bs,DB,012030,서비스업,total_assets,자산총계,288416200594.0,363158130330.0,472491491069.0,601998919354.0,414317384772.0,-31.2
bs,DB하이텍,000990,전기전자,total_assets,자산총계,1066533839753.0,1088889809571.0,1178581197181.0,1549937895854.0,2122700474808.0,37.0
bs,DL,000210,화학,total_assets,자산총계,12833716731566.0,13445224177772.0,13901859840255.0,8322962606033.0,12151037166011.0,46.0
bs,DL이앤씨,375500,건설업,total_assets,자산총계,,,,8701690202744.0,8974717444285.0,3.1
bs,DN오토모티브,007340,전기전자,total_assets,자산총계,870759625705.0,911746199157.0,961755008032.0,1484962432663.0,4591590751746.0,209.2
bs,DRB동일,004840,화학,total_assets,자산총계,716166879071.0,745278926520.0,776434763082.0,831956562409.0,945238494728.0,13.6
bs,DSR,155660,철강금속,total_assets,자산총계,225031293123.0,240410406795.0,252937447385.0,302598631429.0,364710386862.0,20.5
bs,E1,017940,유통업,total_assets,자산총계,3565388941484.0,3594979133031.0,3731448422489.0,3999326311289.0,4339655185507.0,8.5
bs,F&F,383220,섬유의복,total_assets,자산총계,,,,1140330107743.0,1570179025400.0,37.7
bs,F&F 홀딩스,007700,기타금융,total_assets,자산총계,495832731537.0,684437158364.0,817829021444.0,3171939343121.0,3595118444613.0,13.3
bs,GKL,114090,서비스업,total_assets,자산총계,765759332040.0,909430532036.0,708445969367.0,531306108295.0,609513166650.0,14.7
bs,GS,078930,기타금융,total_assets,자산총계,22630978000000.0,24734086000000.0,24476843000000.0,31191287000000.0,33922242000000.0,8.8
bs,GS건설,006360,건설업,total_assets,자산총계,12033275312727.0,13171205734337.0,13770677888907.0,15183727264768.0,16946616696898.0,11.6
bs,GS글로벌,001250,유통업,total_assets,자산총계,1336006541536.0,1205244855027.0,956821701333.0,1442681820909.0,1419412958453.0,-1.6
bs,GS리테일,007070,유통업,total_assets,자산총계,5098880172660.0,7049658160416.0,7177767175769.0,9455972982478.0,9832423124845.0,4.0
bs,HDC,012630,기타금융,total_assets,자산총계,3409742246791.0,4208951127647.0,9617140797332.0,10651491647775.0,11592341237983.0,8.8
bs,HDC랩스,039570,건설업,total_assets,자산총계,290040644716.0,237219484988.0,217997166279.0,411391673094.0,382579391863.0,-7.0
bs,HDC현대EP,089470,화학,total_assets,자산총계,600353780384.0,547277769174.0,524916604534.0,582888461623.0,603330216887.0,3.5
bs,HDC현대산업개발,294870,건설업,total_assets,자산총계,4863355063497.0,4409550765094.0,6116097910011.0,6566377904144.0,7336326609377.0,11.7
bs,HD한국조선해양,009540,기타금융,total_assets,자산총계,24729898792000.0,25055372817000.0,25244191252000.0,27293093978000.0,29883476300000.0,9.5
bs,HD현대,267250,기타금융,total_assets,자산총계,23347820007000.0,25715535189000.0,26558952365000.0,35778647923000.0,65570861076000.0,83.3
bs,HD현대건설기계,267270,기계,total_assets,자산총계,3126514886000.0,3188050894000.0,3355861001000.0,3559565864000.0,3448586770000.0,-3.1
bs,HD현대에너지솔루션,322000,전기전자,total_assets,자산총계,,481150927535.0,458242117629.0,605558888690.0,652825960031.0,7.8
bs,HD현대인프라코어,042670,기계,total_assets,자산총계,11029166692044.0,11338592981121.0,12026886193843.0,4782289797735.0,4736667586250.0,-1.0
bs,HD현대일렉트릭,267260,전기전자,total_assets,자산총계,2326055714894.0,2256474848477.0,2272620339599.0,2214970249748.0,2435030170738.0,9.9
bs,HD현대중공업,329180,운수장비,total_assets,자산총계,,13869458775000.0,13799657849000.0,15078671491000.0,16289398053000.0,8.0
bs,HJ중공업,097230,건설업,total_assets,자산총계,2733620000000.0,2470222000000.0,2193855000000.0,2385236000000.0,2567697000000.0,7.6
bs,HL D&I,014790,건설업,total_assets,자산총계,1793753460658.0,1588187042242.0,1653568577954.0,1521351990525.0,1667421795499.0,9.6
bs,HLB글로벌,003580,광업,total_assets,자산총계,159993622385.0,129401748880.0,130769262935.0,163865354144.0,120246185135.0,-26.6
bs,HL만도,204320,운수장비,total_assets,자산총계,4437275124272.0,4595620752355.0,4938346284697.0,5704365860108.0,5845841407280.0,2.5
bs,HL홀딩스,060980,기타금융,total_assets,자산총계,1724148920710.0,1760403390796.0,1961514202619.0,2294958466711.0,2279864889843.0,-0.7
bs,HMM,011200,운수창고업,total_assets,자산총계,4121440000000.0,7160187000000.0,9373360000000.0,17876100000000.0,25973455000000.0,45.3
bs,HSD엔진,082740,기계,total_assets,자산총계,743406486181.0,830139139349.0,723300346064.0,795624726289.0,956230294638.0,20.2
bs,JW생명과학,234080,의약품,total_assets,자산총계,200859819489.0,201403949401.0,214402015696.0,219466609317.0,252942118072.0,15.3
bs,JW중외제약,001060,의약품,total_assets,자산총계,593791187484.0,573207865158.0,549085028575.0,633053136402.0,627972755001.0,-0.8
bs,JW홀딩스,096760,기타금융,total_assets,자산총계,1257638362679.0,1226595424776.0,1113573849001.0,1065779475044.0,1157579707497.0,8.6
bs,KC그린홀딩스,009440,기타금융,total_assets,자산총계,670840466899.0,816143779044.0,776133685180.0,906605618427.0,792860678470.0,-12.5
bs,KC코트렐,119650,기계,total_assets,자산총계,219470879310.0,332019580962.0,281917548946.0,385076959540.0,323473720683.0,-16.0
bs,KEC,092220,전기전자,total_assets,자산총계,351174342996.0,334212514493.0,368345953226.0,400589167116.0,401136512524.0,0.1
bs,KG모빌리티,003620,운수장비,total_assets,자산총계,2205642065884.0,2019207142717.0,1768628570692.0,1854932034866.0,2001907294250.0,7.9
bs,KG스틸,016380,철강금속,total_assets,자산총계,2506058873996.0,2355272181531.0,2257720824135.0,2771098268254.0,3051507326663.0,10.1
bs,KG케미칼,001390,화학,total_assets,자산총계,1508599076377.0,4151542217468.0,4323538345059.0,4884892280208.0,6981908974784.0,42.9
bs,KH 필룩스,033180,전기전자,total_assets,자산총계,304126673039.0,416767817304.0,383138673115.0,539371447061.0,1246019564242.0,131.0
bs,KISCO홀딩스,001940,철강금속,total_assets,자산총계,1545159969953.0,1557313864152.0,1564589806575.0,1688093089026.0,1735936557627.0,2.8
bs,KPX케미칼,025000,화학,total_assets,자산총계,535273094088.0,537885808227.0,637003840185.0,777143203509.0,776778116811.0,-0.0
bs,KPX홀딩스,092230,화학,total_assets,자산총계,1416576552484.0,1448992399555.0,1698659220590.0,1814858039334.0,1819893802654.0,0.3
bs,KR모터스,000040,운수장비,total_assets,자산총계,154901066995.0,144081159835.0,155873460967.0,168436811482.0,149185245583.0,-11.4
bs,KSS해운,044450,운수창고업,total_assets,자산총계,904473325452.0,957238168720.0,1069527677719.0,1446228922766.0,1659172643001.0,14.7
bs,KTcs,058850,서비스업,total_assets,자산총계,350279654978.0,378104045980.0,384918648498.0,416750372360.0,416146080400.0,-0.1
bs,LF,093050,섬유의복,total_assets,자산총계,1651840925264.0,2417125014216.0,2479439883815.0,2541137894593.0,2584040376470.0,1.7
bs,LG,003550,기타금융,total_assets,자산총계,22835911000000.0,22434630000000.0,24282268000000.0,25669796000000.0,29633677000000.0,15.4
bs,LG디스플레이,034220,전기전자,total_assets,자산총계,33175710000000.0,35574563000000.0,35066012000000.0,38154515000000.0,35686019000000.0,-6.5
bs,LG생활건강,051900,화학,total_assets,자산총계,5275874284165.0,6493669662971.0,6801415783710.0,7555239417717.0,7302929652203.0,-3.3
bs,LG에너지솔루션,373220,전기전자,total_assets,자산총계,,,19941795000000.0,23764137000000.0,38299445000000.0,61.2
