company_name,2018,2019,2020,2021,2022
AJ네트웍스,46822295,46822295,46822295,46822295,46822295
AK홀딩스,13247561,13247561,13247561,13247561,13247561
BGF,95369179,95716791,95716791,95716791,95716791
BGF리테일,17283906,17283906,17283906,17283906,17283906
BYC,624615,624615,624615,624615,624615
CJ,29176998,29176998,29176998,29176998,29176998
CJ CGV,21161313,21161313,35100000,40806712,47721778
CJ대한통운,22812344,22812344,22812344,22812344,22812344
CJ제일제당,15054186,15054186,15054186,15054186,15054186
CS홀딩스,1154482,1154482,1154482,1154482,1154482
DB,201173933,201173933,201173933,201173933,201173933
DB하이텍,44398588,44398588,44398588,44398588,44398588
DL,34800000,34800000,34800000,20955884,20955884
DL이앤씨,0,0,0,19358738,38693623
DN오토모티브,9994005,9994005,9994005,9994005,9994005
DRB동일,19480000,19930000,19930000,19930000,19930000
DSR,16000000,16000000,16000000,16000000,16000000
E1,6860000,6860000,6860000,6860000,6860000
F&F,0,0,0,7661415,38307075
F&F 홀딩스,15400000,15400000,15400000,39114367,39114367
GKL,61855670,61855670,61855670,61855670,61855670
GS,92915378,92915378,92915378,92915378,92915378
GS건설,79435797,80097804,80708203,85581490,85581490
GS글로벌,82533764,82533764,82533764,82533764,82533764
GS리테일,77000000,77000000,77000000,104717922,104717922
HDC,59741721,59741721,59741721,59741721,59741721
HDC랩스,16460000,16460000,16460000,25957601,25957601
HDC현대EP,31900000,31900000,31900000,31900000,31900000
HDC현대산업개발,43938220,43938220,65907330,65907330,65907330
HD한국조선해양,70773116,70773116,70773116,70773116,70773116
HD현대,16286617,16286617,15798617,78993085,78993085
HD현대건설기계,19700793,19700793,19700793,19700793,19700793
HD현대에너지솔루션,0,11200000,11200000,11200000,11200000
HD현대인프라코어,208158077,208161279,215931625,197434567,197763411
HD현대일렉트릭,20357135,36047135,36047135,36047135,36047135
HD현대중공업,0,0,70773116,88773116,88773116
HJ중공업,106052508,83274281,83274281,83274281,83274281
HL D&I,38874942,38874942,38874942,37858601,37858601
HLB글로벌,22510021,28434137,32699622,42065837,42367042
HL만도,46957120,46957120,46957120,46957120,46957120
HL홀딩스,10802691,10472070,10472070,10472070,10472070
HMM,313805827,316552195,326726323,489039496,489039496
HSD엔진,32947142,32947142,32947142,46721246,71543994
JW생명과학,15834554,15834554,15834554,15834554,15834554
JW중외제약,19805460,20318022,20920054,21539926,22178081
JW홀딩스,63258557,64520904,66452155,68441182,70444706
KC그린홀딩스,22434980,22434980,22434980,22434980,22434980
KC코트렐,13000000,13000000,13000000,17600000,34600456
KEC,112451621,116706940,116706940,144748141,144763141
KG모빌리티,137949396,149840002,149840002,149840002,186956024
KG스틸,27233424,100008897,100008897,100008897,100008897
KG케미칼,12455526,13013232,13013232,13866096,13866096
KH 필룩스,53826895,81092012,90043128,136730264,171301102
KISCO홀딩스,18476380,18476380,18476380,18476380,16176380
KPX케미칼,4840000,4840000,4840000,4840000,4840000
KPX홀딩스,4224646,4224646,4224646,4224646,4224646
KR모터스,189444075,189444075,91661018,96137368,96138465
KSS해운,23185880,23185880,23185880,23185880,23085880
KTcs,42685000,42685000,42685000,42685000,42685000
LF,29240000,29240000,29240000,29240000,29240000
LG,172557131,172557131,172557131,157300993,157300993
LG디스플레이,357815700,357815700,357815700,357815700,357815700
LG생활건강,15618197,15618197,15618197,15618197,15618197
LG에너지솔루션,0,0,200000000,200000000,234000000
