corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
AJ네트웍스,095570,서비스업,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2
AK홀딩스,006840,기타금융,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34
BGF,027410,기타금융,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BYC,001460,섬유의복,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
CJ,001040,기타금융,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
"CJ CGV",079160,서비스업,2553,3.4,3.47,3.06,3.22,3.02,2.89,0.92,0.89,0.58
CJ대한통운,000120,운수창고업,2532,2.8,2.81,2.39,2.56,2.99,2.31,1.42,1.49,1.44
CJ제일제당,097950,음식료품,4305,2.9,2.88,2.68,2.86,2.96,2.42,1.36,1.41,1.35
DB,012030,서비스업,898,3.03,2.91,3.35,2.98,2.73,2.41,1.01,0.99,0.73
DL,000210,화학,364,2.22,2.21,1.94,2.02,2.6,1.82,0.23,0.32,0.32
DL이앤씨,375500,건설업,941,3.24,3.33,3.13,3.04,3.48,2.06,2.92,2.9,2.89
DRB동일,004840,화학,154,3.04,2.89,3.68,2.89,2.79,2.39,1.81,1.78,1.69
DSR,155660,철강금속,88,2.71,3.17,2.3,2.36,2.6,2.26,1.03,1.06,0.92
E1,017940,유통업,143,3.36,3.46,3.81,3,3,2.61,2.46,2.55,2.41
F&F,383220,섬유의복,683,2.95,3.25,2.7,2.8,3.05,2.45,1.78,1.88,1.79
GKL,114090,서비스업,254,2.33,2.34,3.1,1.79,1.74,1.6,2.01,2.02,1.98
GS,078930,기타금융,3564,3.7,3,3.5,3.4,2.7,3.3,0.65,0.74,0.25
GS건설,006360,건설업,1741,2.97,2.91,3.1,2.97,2.76,2.11,1.82,1.77,1.7
GS글로벌,001250,유통업,233,2.75,3,2.75,2.2,2.9,2.15,1.56,1.62,1.46
GS리테일,007070,유통업,4719,3.4,2.88,3.35,3.23,2.6,2.95,1.1,1.17,0.8
HDC,012630,기타금융,147,2.8,3.1,3.3,2.6,2.6,2.3,0.3,0.35,0.09
HDC랩스,039570,건설업,148,2.34,2.28,2.92,2.08,2.18,1.82,1.46,1.52,1.42
HDC현대EP,089470,화학,229,2.44,2.19,3.24,2.31,2.49,2.06,1.24,1.33,1.17
HDC현대산업개발,294870,건설업,442,3.1,2.74,3.43,3,3.02,2.12,2.5,2.49,2.45
HD한국조선해양,009540,기타금융,307,3.06,2.86,3.7,2.8,2.82,2.3,2.52,2.54,2.5
HD현대,267250,기타금융,184,3.1,3,3.8,3,2.3,2.2,0.54,0.29,0.07
HD현대에너지솔루션,322000,전기전자,149,2.38,2.26,2.72,2.2,2.3,1.86,0.97,0.97,0.94
HD현대인프라코어,042670,기계,1263,3.42,3.58,3.82,3.6,3.14,2.58,1.71,1.7,1.49
HD현대일렉트릭,267260,전기전자,406,2.81,2.75,3.72,2.5,2.6,2.3,1.67,1.78,1.61
HL만도,204320,운수장비,1083,2.98,3.18,2.85,2.68,3.15,2.1,2.29,2.26,2.24
HMM,011200,운수창고업,300,3.32,2.63,3.99,3.02,3.11,2.14,3.23,3.23,3.23
HSD엔진,082740,기계,175,3.35,3.31,3.49,3.15,3.15,2.59,1.8,1.86,1.69
JW생명과학,234080,의약품,166,3.13,3.25,3.16,2.98,2.95,2.55,1.26,1.32,1.05
JW중외제약,001060,의약품,1062,2.63,2.64,2.85,2.26,2.73,2.05,1.14,1.15,1
JW홀딩스,096760,기타금융,139,2.96,2.64,3.26,2.59,2.96,2.3,1.24,1.3,1.12
KC그린홀딩스,009440,기타금융,36,3.66,3.07,4.24,3.69,3.26,3.64,2.93,3.1,2.99
KC코트렐,119650,기계,92,3.49,3.05,3.93,3.3,3.14,2.95,1.88,1.87,1.74
KEC,092220,전기전자,340,2.43,2.37,2.33,2.07,2.67,1.9,0.94,0.94,0.86
KG모빌리티,003620,운수장비,577,2.81,2.92,3.83,2.62,2.94,1.72,1.38,1.31,1.24
KG스틸,016380,철강금속,108,2.42,2.32,2.72,2.23,2.62,1.83,2.39,2.39,2.39
KG케미칼,001390,화학,189,2.22,1.8,2.57,2.22,2.15,1.92,0.52,0.63,0.55
"KH 필룩스",033180,전기전자,121,2.23,1.81,2.77,2.07,2.21,1.81,0.5,0.54,0.43
KPX케미칼,025000,화학,196,2.51,2.61,2.73,2.38,2.77,1.74,0.87,0.84,0.8
KR모터스,000040,운수장비,49,2.02,1.73,2.42,2.23,2.21,1.73,0.14,0.3,0.12
KSS해운,044450,운수창고업,63,4.24,4.1,3.81,3.94,4.13,3.76,1.2,1.23,1.17
KTcs,058850,서비스업,1438,2.68,2.44,3.22,2.62,2.34,2.32,0.69,0.81,0.56
LF,093050,섬유의복,2443,3.29,2.74,3.94,3.37,3.09,2.58,1.23,1.2,0.97
LG,003550,기타금융,6373,3.09,2.99,3.09,3.19,2.99,2.49,0.49,0.51,0.22
LG디스플레이,034220,전기전자,7258,3.05,3.19,2.85,2.85,3,2.45,1.73,1.77,1.63
LG생활건강,051900,화학,2240,2.69,2.38,3.24,2.69,2.49,2.09,1.39,1.39,1.28
LG에너지솔루션,373220,전기전자,1974,3.78,3.1,3.76,3.78,3.89,3.1,3.43,3.44,3.43
LG유플러스,032640,통신업,3553,3.29,3.07,3.6,3.33,2.86,2.61,1.74,1.76,1.6
LG이노텍,011070,전기전자,4553,3.32,3.4,2.96,3.22,2.94,2.96,1.57,1.63,1.5
LG전자,066570,전기전자,13011,2.69,2.49,3,2.74,2.59,2.14,1.41,1.42,1.28
LG헬로비전,037560,서비스업,725,2.67,2.73,3,2.77,2.63,2.2,1.04,1.12,0.95
LG화학,051910,화학,5147,3.26,2.89,3.44,3.16,3.28,2.55,2.1,2.08,2.02
LS,006260,기타금융,1198,3.01,3,2.82,2.8,2.51,2.7,0.47,0.68,0.29
LS네트웍스,000680,유통업,222,3,2.7,3.78,3.08,2.78,2.38,0.94,0.86,0.67
LS전선아시아,229640,기타금융,676.32,2.75,2.69,2.92,2.54,2.59,2.25,1.29,1.3,1.14
LX세미콘,108320,전기전자,988,3.14,3.02,2.96,3.06,3.41,2.35,2.5,2.54,2.51
LX인터내셔널,001120,유통업,544,3.28,3.49,3.41,3.21,3.28,2.54,1.78,1.78,1.62
LX하우시스,108670,화학,1491,3.03,3.18,3.66,2.98,2.72,2.12,1.84,1.8,1.69
NAVER,035420,서비스업,4622,3.8,3.84,3.43,3.67,3.76,3,2.72,2.67,2.63
NICE,034310,서비스업,518,3.3,3.5,3.6,3.2,2.4,2.6,0.56,0.45,0.29
OCI홀딩스,010060,화학,419,3.06,2.67,3.69,2.84,3.09,2.27,2.66,2.65,2.6
POSCO홀딩스,005490,철강금속,4310,2.6,2.84,2.59,2.2,2.56,1.86,1.6,1.55,1.47
S-Oil,010950,화학,391,3.35,3.72,3.66,2.79,2.76,2.19,3.28,3.29,3.28
SBS,034120,서비스업,702,3.3,3.22,2.95,3.02,2.67,2.62,1.32,1.23,1.04
SGC에너지,005090,전기가스업,81,3.11,3.33,2.72,2.54,3.11,2.41,3.04,3.04,3.04
SG글로벌,001380,운수장비,168,2.51,2.62,2.75,1.97,2.55,2.05,0.87,0.95,0.73
SG세계물산,004060,유통업,266,2.38,1.94,2.69,2.14,2.44,1.86,0.62,0.6,0.46
SH에너지화학,002360,화학,47,2.67,2.1,3.23,2.6,2.87,2.07,0.89,0.84,0.73
SIMPAC,009160,철강금속,207,2.53,2.67,2.6,2.57,2.51,2.4,0.63,0.83,0.49
SK,034730,기타금융,3388,3.42,3.22,3.22,3.35,3.35,2.88,1.03,1.06,0.75
SKC,011790,화학,730,3.55,3.43,3.65,3.65,3.2,2.77,1.34,1.29,1.06
SK가스,018670,유통업,291,3.42,3.38,3.26,3.06,3.04,2.86,2.42,2.41,2.32
SK네트웍스,001740,유통업,362,3.33,3.3,3.7,3.53,3.03,2.73,1.43,1.49,1.25
SK디스커버리,006120,기타금융,37,3.64,3.64,3.44,3.51,3.74,3.15,3.53,3.53,3.53
SK디앤디,210980,서비스업,214,3.06,3.14,3.15,2.69,3.08,2.54,2.13,2.17,2.08
SK렌터카,068400,서비스업,230,2.81,2.44,3.27,2.76,2.52,2.3,1.75,1.81,1.74
SK바이오사이언스,302440,의약품,586,3.35,3.44,2.95,3.35,3.36,2.7,2.07,2.09,2
SK아이이테크놀로지,361610,전기전자,48,4.13,4.23,3.9,4.17,3.63,3.57,3,2.98,2.9
SK오션플랜트,100090,철강금속,156,2.31,1.8,2.33,2.16,2.57,2.06,1.03,1.17,1.08
SK이노베이션,096770,화학,2341,3.33,3.43,3.33,3.31,3.25,2.88,2.81,2.8,2.76
SK케미칼,285130,화학,1060,3.25,2.94,3.27,3.35,3.1,2.69,2,2.03,1.9
SK하이닉스,000660,전기전자,6675,3.01,3.33,2.82,2.81,2.81,2.44,2.16,2.15,2.1
SNT모티브,064960,운수장비,207,2.72,2.67,3.05,2.64,2.75,2.13,1.16,1.16,1.09
SPC삼립,005610,음식료품,633,2.54,2.62,2.42,2.22,2.54,1.98,1.19,1.23,1.17
STX,011810,유통업,452,2.7,2.37,2.98,2.85,2.99,1.99,0.46,0.6,0.39
STX엔진,077970,기계,313,3.21,2.81,3.93,3.23,3.03,2.27,1.64,1.58,1.44
STX중공업,071970,기계,436,2.66,2.22,3.38,3.08,2.9,1.8,0.63,0.68,0.56
SUN&L,002820,종이목재,260,2.03,2.1,2.51,2,1.94,1.72,0.42,0.44,0.28
TCC스틸,002710,철강금속,40,2.35,2.38,3.54,2.24,2.25,1.94,1.74,1.79,1.72
TYM,002900,기계,305,2.8,3.04,3.1,2.44,2.47,2.17,1.1,1.09,0.84
