종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4480,40,0.9,209763881600
006840,AK홀딩스,KOSPI,기타금융,19420,210,1.09,257267634620
027410,BGF,KOSPI,기타금융,3850,25,0.65,368509645350
282330,BGF리테일,KOSPI,유통업,175900,1000,0.57,3040239065400
138930,BNK금융지주,KOSPI,기타금융,7030,100,1.44,2291324779380
001460,BYC,KOSPI,섬유의복,399500,-2500,-0.62,249533692500
001465,BYC우,KOSPI,섬유의복,147500,-1000,-0.67,31769287500
001040,CJ,KOSPI,기타금융,67200,-1100,-1.61,1960694265600
079160,"CJ CGV",KOSPI,서비스업,9400,100,1.08,448647401800
00104K,CJ4우(전환),KOSPI,기타금융,58800,-100,-0.17,248518905600
000120,CJ대한통운,KOSPI,운수창고업,76000,-400,-0.52,1733738144000
011150,CJ씨푸드,KOSPI,음식료품,3600,55,1.55,129350782800
011155,CJ씨푸드1우,KOSPI,음식료품,23950,-400,-1.64,4790000000
001045,CJ우,KOSPI,기타금융,44700,0,0,101031968100
097950,CJ제일제당,KOSPI,음식료품,280000,10500,3.9,4215172080000
097955,"CJ제일제당 우",KOSPI,음식료품,137500,1900,1.4,182522037500
000590,CS홀딩스,KOSPI,기타금융,60900,1300,2.18,70307953800
012030,DB,KOSPI,서비스업,2255,10,0.45,453647218915
016610,DB금융투자,KOSPI,증권,4105,60,1.48,174242426845
005830,DB손해보험,KOSPI,보험,76000,1400,1.88,5380800000000
000990,DB하이텍,KOSPI,전기전자,62700,-400,-0.63,2783791467600
000995,DB하이텍1우,KOSPI,전기전자,30000,0,0,3369480000
139130,DGB금융지주,KOSPI,기타금융,7490,220,3.03,1266902289170
001530,DI동일,KOSPI,유통업,21400,300,1.42,557270487800
000210,DL,KOSPI,화학,42050,750,1.82,881194922200
001880,DL건설,KOSPI,건설업,13700,-50,-0.36,302129990800
000215,DL우,KOSPI,화학,24900,-50,-0.2,41984263500
375500,DL이앤씨,KOSPI,건설업,35200,450,1.29,1362015529600
37550L,DL이앤씨2우(전환),KOSPI,건설업,24600,300,1.23,51953994600
37550K,DL이앤씨우,KOSPI,건설업,20300,200,1,42911865500
007340,DN오토모티브,KOSPI,전기전자,91700,500,0.55,916450258500
004840,DRB동일,KOSPI,화학,5380,30,0.56,107223400000
155660,DSR,KOSPI,철강금속,5080,40,0.79,81280000000
069730,DSR제강,KOSPI,철강금속,4900,70,1.45,70560000000
017940,E1,KOSPI,유통업,50500,-700,-1.37,346430000000
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4075,65,1.62,868337675000
383220,F&F,KOSPI,섬유의복,120200,600,0.5,4604510415000
007700,F&F홀딩스,KOSPI,기타금융,20200,200,1,790110213400
114090,GKL,KOSPI,서비스업,15840,-500,-3.06,979793812800
078930,GS,KOSPI,기타금융,36550,-100,-0.27,3396057065900
006360,GS건설,KOSPI,건설업,19020,380,2.04,1627759939800
001250,GS글로벌,KOSPI,유통업,2890,-10,-0.34,238522577960
007070,GS리테일,KOSPI,유통업,23200,300,1.31,2429455790400
078935,GS우,KOSPI,기타금융,34100,200,0.59,60862566600
012630,HDC,KOSPI,기타금융,6400,-30,-0.47,382347014400
039570,HDC랩스,KOSPI,건설업,8330,60,0.73,216226816330
089470,HDC현대EP,KOSPI,화학,4585,45,0.99,146261500000
294870,HDC현대산업개발,KOSPI,건설업,11540,150,1.32,760570588200
009540,HD한국조선해양,KOSPI,기타금융,116100,-400,-0.34,8216758767600
267250,HD현대,KOSPI,기타금융,60000,100,0.17,4739585100000
267270,HD현대건설기계,KOSPI,기계,87300,1500,1.75,1719879228900
322000,HD현대에너지솔루션,KOSPI,전기전자,39000,350,0.91,436800000000
042670,HD현대인프라코어,KOSPI,기계,12030,70,0.59,2401229539590
267260,HD현대일렉트릭,KOSPI,전기전자,64700,-400,-0.61,2332249634500
329180,HD현대중공업,KOSPI,운수장비,131600,-100,-0.08,11682542065600
097230,HJ중공업,KOSPI,건설업,4100,5,0.12,341424552100
014790,"HL D&I",KOSPI,건설업,2725,45,1.68,103164687725
003580,HLB글로벌,KOSPI,광업,5090,100,2,215680906310
204320,HL만도,KOSPI,운수장비,53300,-600,-1.11,2502814496000
060980,HL홀딩스,KOSPI,기타금융,37300,300,0.81,379318993000
011200,HMM,KOSPI,운수창고업,19130,280,1.49,9355325558480
082740,HSD엔진,KOSPI,기계,10140,20,0.2,725456099160
003560,IHQ,KOSPI,서비스업,239,0,0,57908659872
