Sector,Revenue_Group,Average_Revenue,Top1,Correlation1,Top2,Correlation2,Top3,Correlation3,Top4,Correlation4,Top5,Correlation5
서비스업,상위,9988153672908.666,Total_Borrowings,0.9999999999994101,Short_Term_Borrowings,0.999999999999313,Total_Borrowings_To_Ebitda,0.9999999999988657,Borrowing_Dependency,0.9999999998114264,Net_Borrowings,0.9999997842311442
서비스업,중위,2916990050750.0435,Operating_Cash_Flow,0.8043351247960598,Borrowing_Dependency,0.790719774943938,Total_Borrowings,0.7751515867409787,Total_Assets,0.7707310312264588,Total_Borrowings_To_Ebitda,0.7701318875038888
서비스업,하위,1043727696167.9269,Financial_Expenses,0.6220517680071093,Short_Term_Borrowings,0.5644273912015821,Borrowing_Dependency,0.537541950396058,Total_Borrowings,0.5109031734682462,Dependence_On_Net_Borrowings,0.46368427941632495
기타금융,상위,106924350500000,Ebitda_Margin,NULL,Ebitda_To_Interest_Expense,NULL,Debt_Ratio,NULL,Dependence_On_Net_Borrowings,NULL,Net_Borrowings_To_Ebitda,NULL
기타금융,중위,34257852225600,Current_Liabilities_Ratio,0.7965123064535767,Net_Borrowings_To_Ebitda,0.754563260325047,Selling_General_Administrative_Expenses,0.7524168054892588,Operating_Cash_Flow,0.7333863618317872,Working_Capital,0.7039996316046396
기타금융,하위,7108129719576.811,Total_Assets_Leverage,0.6414208033274937,Debt_Ratio,0.6414208033274937,Net_Borrowings,0.5107223095222034,Market_Capitalization,0.49588507277352334,Short_Term_Borrowings,0.47613772063922627
운수창고업,상위,20887849500211,Ebitda_Margin,NULL,Ebitda_To_Interest_Expense,NULL,Debt_Ratio,NULL,Dependence_On_Net_Borrowings,NULL,Net_Borrowings_To_Ebitda,NULL
운수창고업,중위,10015806322486.23,Dependence_On_Net_Borrowings,0.8611103475903202,Borrowing_Dependency,0.8599435341700032,Total_Liabilities,0.7937690973325991,Total_Borrowings_To_Ebitda,0.7697108914548759,Current_Liabilities,0.7658527805064267
운수창고업,하위,2347635783819.5713,Total_Equity,0.9141727536366276,Dependence_On_Net_Borrowings,0.7995284138170756,Borrowing_Dependency,0.7801316378665816,Ebitda_To_Interest_Expense,0.7773198653783722,Quick_Ratio,0.7261302343846969
음식료품,상위,28184370444000,Ebitda_Margin,NULL,Ebitda_To_Interest_Expense,NULL,Debt_Ratio,NULL,Dependence_On_Net_Borrowings,NULL,Net_Borrowings_To_Ebitda,NULL
음식료품,중위,21756082646333.332,Ebitda_Margin,NULL,Ebitda_To_Interest_Expense,NULL,Debt_Ratio,NULL,Dependence_On_Net_Borrowings,NULL,Net_Borrowings_To_Ebitda,NULL
음식료품,하위,1959464648906.6428,Total_Equity,0.8566367017811561,Total_Assets,0.7602686358733689,Selling_General_Administrative_Expenses,0.6704458243051005,Dependence_On_Net_Borrowings,0.6633347829541352,Borrowing_Dependency,0.6244452045870015
화학,상위,53436989578200,Debt_Ratio,0.9687840329887708,Total_Assets_Leverage,0.9687840329887708,Total_Liabilities,0.9535724644144893,Total_Assets,0.9334515773371409,Market_Capitalization,0.9325868253989007
화학,중위,23808315607278.25,Ebit,0.8610163591006447,Ebit_Margin,0.8173295442394097,Return_On_Assets,0.777883006468047,Ebitda,0.762210457307724,Working_Capital,0.7187338492024693
화학,하위,2390507446350.811,Total_Equity,0.6936151916992481,Total_Assets,0.6913426986265863,Cogs,0.5871323535509899,Quick_Assets,0.5797292019086844,Total_Liabilities,0.5761733778965786
건설업,하위,2548134486631.2,Cogs,0.7662577397181266,Ebit,0.764471572635487,Borrowing_Dependency,0.7434341150989854,Ebitda,0.7374650963063089,Dependence_On_Net_Borrowings,0.7286702541551132
건설업,중위,7769816047224.667,Total_Assets_Leverage,0.8563001455215851,Debt_Ratio,0.8563001455215848,Total_Borrowings,0.7309962884231016,Debt_To_Net_Income_Ratio,0.6812492976723491,Borrowing_Dependency,0.6682208015672015
건설업,상위,15194270790517.889,Total_Equity,0.9721550244151625,Total_Assets,0.9662140301782457,Debt_Ratio,0.9559869164388257,Total_Assets_Leverage,0.9559869164388257,Quick_Assets,0.9403782506050212
전기전자,상위,67746793750000,Ebitda_Margin,NULL,Ebitda_To_Interest_Expense,NULL,Debt_Ratio,NULL,Dependence_On_Net_Borrowings,NULL,Net_Borrowings_To_Ebitda,NULL
전기전자,중위,28444506714231.07,Market_Capitalization,0.7660731618928345,Current_Liabilities_Ratio,0.7562339069005837,Debt_Ratio,0.7108998845935731,Total_Assets_Leverage,0.7108998845935729,Working_Capital,0.6733866439685088
전기전자,하위,2680157130651.604,Quick_Assets,0.744391294290788,Working_Capital,0.6943140798268677,Total_Assets,0.6618865687513223,Cash_And_Cash_Equivalents,0.6615638297158941,Total_Liabilities,0.6607333747266915
