"Unnamed: 0",corp,stock_code,date,open,high,low,close,amount,foreign_ownership_ratio
0,맵스리얼티1,94800,2018-01-31,3820,3845,3715,3745,1939683,2
1,맵스리얼티1,94800,2018-02-28,3760,3765,3670,3755,998599,2
2,맵스리얼티1,94800,2018-03-30,3755,3855,3755,3830,791787,2
3,맵스리얼티1,94800,2018-04-30,3830,3840,3770,3800,1005005,2
4,맵스리얼티1,94800,2018-05-31,3800,3800,3695,3755,607356,2
5,맵스리얼티1,94800,2018-06-29,3760,3780,3680,3755,759986,2
6,맵스리얼티1,94800,2018-07-31,3770,3775,3685,3700,892722,2
7,맵스리얼티1,94800,2018-08-31,3700,3900,3690,3890,903311,2
8,맵스리얼티1,94800,2018-09-28,3890,3925,3795,3905,652651,2
9,맵스리얼티1,94800,2018-10-31,3905,3940,3750,3790,1196639,2
10,맵스리얼티1,94800,2018-11-30,3790,3870,3760,3850,705359,2
11,맵스리얼티1,94800,2018-12-28,3850,3850,3600,3650,1887965,2
12,맵스리얼티1,94800,2019-01-31,3670,3755,3635,3750,1262947,2
13,맵스리얼티1,94800,2019-02-28,3745,3795,3675,3750,1195693,2
14,맵스리얼티1,94800,2019-03-29,3755,4125,3735,4070,3026524,2
15,맵스리얼티1,94800,2019-04-30,4040,4640,4035,4495,4810890,2
16,맵스리얼티1,94800,2019-05-31,4490,4600,4175,4450,2994725,2
17,맵스리얼티1,94800,2019-06-28,4450,4580,4380,4390,1571502,2
18,맵스리얼티1,94800,2019-07-31,4385,4530,4240,4505,1767014,2
19,맵스리얼티1,94800,2019-08-30,4480,4585,4300,4505,1733153,2
20,맵스리얼티1,94800,2019-09-30,4525,5140,4505,4995,3108938,3
21,맵스리얼티1,94800,2019-10-31,4995,5100,4890,5100,3369234,3
22,맵스리얼티1,94800,2019-11-29,5110,5490,5020,5100,4424068,4
23,맵스리얼티1,94800,2019-12-30,5040,5190,4545,4945,5155766,4
24,맵스리얼티1,94800,2020-01-31,4985,4985,4680,4775,1666132,4
25,맵스리얼티1,94800,2020-02-28,4770,4850,4560,4660,1511070,4
26,맵스리얼티1,94800,2020-03-31,4610,4890,3150,4145,5595418,4
27,맵스리얼티1,94800,2020-04-29,4170,4180,3850,4090,2608006,4
28,맵스리얼티1,94800,2020-05-29,4075,4290,3980,4250,1587367,4
29,맵스리얼티1,94800,2020-06-30,4225,4325,3995,4045,1567592,4
30,맵스리얼티1,94800,2020-07-31,4050,4090,3950,3995,1494974,4
31,맵스리얼티1,94800,2020-08-31,3960,4000,3785,3865,1625843,4
32,맵스리얼티1,94800,2020-09-29,3890,4100,3830,4095,1365900,4
33,맵스리얼티1,94800,2020-10-30,4065,4130,3975,4035,623590,4
34,맵스리얼티1,94800,2020-11-30,4075,4120,4020,4045,1202233,4
35,맵스리얼티1,94800,2020-12-30,4080,4195,3950,3995,3186588,4
36,맵스리얼티1,94800,2021-01-29,3980,3990,3850,3890,2141274,4
37,맵스리얼티1,94800,2021-02-26,3885,4025,3885,4000,1522810,4
38,맵스리얼티1,94800,2021-03-31,4000,4460,3970,4460,1864923,4
39,맵스리얼티1,94800,2021-04-30,4450,4990,4330,4875,2794480,4
40,맵스리얼티1,94800,2021-05-31,4870,5020,4710,5010,1877827,4
41,맵스리얼티1,94800,2021-06-30,5010,5160,4815,4900,1794440,4
42,맵스리얼티1,94800,2021-07-30,4925,4925,4510,4615,1244198,4
43,맵스리얼티1,94800,2021-08-31,4630,4720,4540,4650,894751,4
44,맵스리얼티1,94800,2021-09-30,4670,4845,4620,4775,846296,4
45,맵스리얼티1,94800,2021-10-29,4765,5010,4755,4950,1101961,4
46,맵스리얼티1,94800,2021-11-30,4995,5000,4735,4735,1965053,4
47,맵스리얼티1,94800,2021-12-30,4745,4860,4615,4675,2076767,3
48,맵스리얼티1,94800,2022-01-28,4700,4785,4350,4500,1139763,3
49,맵스리얼티1,94800,2022-02-28,4590,4640,4475,4575,1147616,3
50,맵스리얼티1,94800,2022-03-31,4570,4660,4565,4640,1209106,3
51,맵스리얼티1,94800,2022-04-29,4650,5020,4640,4990,1716022,3
52,맵스리얼티1,94800,2022-05-31,4980,4990,4745,4890,1034587,3
53,맵스리얼티1,94800,2022-06-30,4890,4895,4425,4540,1023083,3
54,맵스리얼티1,94800,2022-07-29,4605,4610,4375,4440,851584,3
55,맵스리얼티1,94800,2022-08-31,4440,4580,4355,4500,362496,3
56,맵스리얼티1,94800,2022-09-30,4500,4540,4110,4180,480778,3
57,맵스리얼티1,94800,2022-10-31,4355,4355,3810,3985,933065,3
58,맵스리얼티1,94800,2022-11-30,3995,4215,3950,4215,593034,3
59,맵스리얼티1,94800,2022-12-29,4230,4265,4000,4005,945375,3
60,맵스리얼티1,94800,2023-01-31,4050,4300,4000,4175,579368,3
