corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
AJ네트웍스,2018,-21236052082.0,1045526121935.0,37268842438.0,93644590,2083331488612.0,2575139461359.0,-892.0841587004652,11164.83207342784,268758383637.0,674454978990.0,51456822550.0,-405696595353.0,1063068630148.0,474261316507.0
AJ네트웍스,2019,15649322684.0,1000259401598.0,42128594358.0,93644590,1455914070366.0,1803255225986.0,-404.8224669572476,10681.443547331459,478799539688.0,796062818789.0,58629571881.0,-317263279101.0,1302199830881.0,659076988337.0
AJ네트웍스,2020,21089140851.0,871956093147.0,-3316812122.0,93644590,1300162539894.0,1588170350000.0,189.28970988073095,9311.334409675988,248555402608.0,661160443861.0,33664676310.0,-412605041253.0,1233483716249.0,591265103167.0
AJ네트웍스,2021,48071717838.0,981947656833.0,76737133075.0,93644590,992534361837.0,1355044449955.0,-120.8619987337229,10485.898404093605,273912905377.0,525176778325.0,19735719639.0,-251263872948.0,1081131544578.0,467357583512.0
AJ네트웍스,2022,75447386515.0,1208367577386.0,8769534380.0,93644590,1119559529255.0,1481445371745.0,195.68041105204261,12903.762805582255,301469589101.0,814364855406.0,25024737042.0,-512895266305.0,1151946269415.0,281612720386.0
AK홀딩스,2018,269717896055.0,3711183102751.0,206620398931.0,26495122,1924033597965.0,3397931239428.0,11974.196631704508,140070.42891710406,1306700266118.0,1331030390880.0,227029928871.0,-24330124762.0,2091230973310.0,593003207085.0
AK홀딩스,2019,131336891859.0,3759542062510.0,58746362285.0,26495122,2880323312876.0,4327964555085.0,10348.689751607862,141895.6312980933,1327786611907.0,1565481508107.0,253714985212.0,-237694896200.0,3000177943178.0,1314841804769.0
AK홀딩스,2020,-221554817267.0,2619977218245.0,-264310731247.0,26495122,2889429546083.0,4152091609064.0,-7235.915842018014,98885.26719163626,1185254991117.0,1611669522762.0,236961654579.0,-426414531645.0,2966836617947.0,1277760023321.0
AK홀딩스,2021,-165714944091.0,3167699652090.0,-199326056742.0,26495122,3346377385610.0,4548736656905.0,-368.6051262945685,119557.84359437937,1352749114609.0,1873942574814.0,375434184299.0,-521193460205.0,3195987542296.0,1472434810796.0
AK홀딩스,2022,-21822473627.0,3787959855335.0,-119048517003.0,26495122,3721996781791.0,5004334961394.0,13831.794741424477,142968.19827193097,1578818308431.0,2366670547012.0,357702291647.0,-787852238581.0,3425516652963.0,1355326234779.0
BGF,2018,29473341965.0,220593918847.0,47204820813.0,190738358,109132614534.0,1624874724266.0,-153.1006369363838,1156.5262549182687,315224626445.0,57669532526.0,3292346684.0,257555093919.0,1309650097821.0,51463082008.0
BGF,2019,26355506906.0,133387713837.0,17515291535.0,191433582,129126735585.0,1657381460248.0,72.26828472028487,696.7832521516523,319699376878.0,63739516570.0,2916200656.0,255959860308.0,1337682083370.0,65387219015.0
BGF,2020,14640997513.0,154381286305.0,17880953455.0,191433582,121105273379.0,1658204361732.0,111.52837454611281,806.4482975876197,462774741845.0,68967757266.0,2325415529.0,393806984579.0,1195429619887.0,52137516113.0
BGF,2021,37907480279.0,150187760830.0,35977028709.0,191433582,248858644100.0,1981622039251.0,7.964509565516044,784.5423946045162,468763642007.0,114382730119.0,50263040852.0,354380911888.0,1512858397244.0,134475913981.0
BGF,2022,61203792653.0,434997439995.0,26176881012.0,191433582,201490551514.0,1938013970903.0,1.0837090641703606,2272.315209538314,422786609370.0,71497959445.0,59748645880.0,351288649925.0,1515227361533.0,129992592069.0
BGF리테일,2018,189516685804.0,5775862323457.0,154186683020.0,34567812,960905506895.0,1482568536572.0,10003.45996295629,167087.87711114026,696072311454.0,763691794052.0,103393148174.0,-67619482598.0,786496225118.0,197213712843.0
BGF리테일,2019,196623293754.0,5946068219555.0,151377053549.0,34567812,1549815137631.0,2172410899706.0,15413.612622980014,172011.70324448074,744140651570.0,950726347343.0,90874465894.0,-206585695773.0,1428270248136.0,599088790288.0
BGF리테일,2020,162204243583.0,6181269419288.0,122711267434.0,34567812,1674341687928.0,2371169598247.0,14676.701558519237,178815.75551521746,829086121576.0,1003393099606.0,121544699913.0,-174306978030.0,1542083476671.0,670948588322.0
BGF리테일,2021,199441703668.0,6781161259022.0,147642852239.0,34567812,1787059387273.0,2596378756682.0,15567.883206463863,196169.81424864265,808328772196.0,1016456191788.0,108457562501.0,-208127419592.0,1788049984486.0,770603195485.0
BGF리테일,2022,252407573570.0,7615769467741.0,193538863026.0,34567812,1983607627851.0,2946235271626.0,18237.332344494353,220313.89975567444,889900434324.0,1102246622172.0,124841356071.0,-212346187848.0,2056334837302.0,881361005679.0
BYC,2018,21346820739.0,197864080352.0,9092446196.0,1680000,331027820118.0,738431267101.0,29197.86320297619,117776.23830476191,89810780063.0,82142589839.0,54609507716.0,7668190224.0,648620487038.0,248885230279.0
BYC,2019,23393686890.0,170589026967.0,27788949736.0,1680000,259555399205.0,693882852856.0,11140.475450595239,101541.08748035715,118321885500.0,109379625182.0,45676332163.0,8942260318.0,575560967356.0,150175774023.0
BYC,2020,22940934002.0,161863377007.0,18285121577.0,1680000,226466838553.0,679134863796.0,21076.613761309523,96347.24821845238,116356314223.0,121169200638.0,34704886422.0,-4812886415.0,562778549573.0,105297637915.0
BYC,2021,26711346464.0,164445893789.0,29855489397.0,1680000,202622247604.0,684434512150.0,21254.422114880952,97884.46058869048,133338983564.0,130677556899.0,30955006187.0,2661426665.0,551095528586.0,71944690705.0
